apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Dzūkijos,1971-10-08,vedęs / ištekėjusi,Ne,Alytaus rajono savivaldybės administracijos direktorius,Aurimas    TRUNCĖ,Janapolio k.,Aukštasis;Lietuvos veterinarijos akademija;Veterinarijos gydytojas;1994,"Sportas, Žvejyba, Kelionės","Ilgų kaimas, Alovės seniūnija, Alytaus rajonas",Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,19,"Lenkų, Rusų",Ne,Neturiu
Dzūkijos,1947-10-15,vedęs / ištekėjusi,Ne,"Daugų Vlado Mirono vidurinė mokykla, mokytoja",Monika    RAŽANAUSKIENĖ,Kančėnų k.,Aukštasis;Vilniaus valstybinis pedagoginis institutas;Mokytoja (biologija - žemės ūkis);1977,"Kelionės, Muzika, Knygos",Liesionių kaimas Alytaus rajonas,Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,60,"Rusų, Lenkų, Prancūzų",Ne,Neturiu
Dzūkijos,1981-03-15,nevedęs / netekėjusi,Ne,individuali veikla pagal autorines sutartis,Antanas    NEDZINSKAS,Miklusėnų k.,Aukštasis;Vilniaus universitetas;ryšiai su visuomene;2006;Aukštasis;Vilniaus universitetas;bibliotekininkystė ir informacija;2004,"dainavimas, rašymas, kolekcionavimas, senovinių automobilių restauravimas",Alytus,Tautos prisikėlimo partija,Lietuvis (-ė) ,33,"Rusų, Anglų",Ne,Neturiu
Dzūkijos,1952-02-13,vedęs / ištekėjusi,Ne,"Mykolo Romerio universitetas, Ekonomikos ir finansų valdymo fakultetas, docentas",Gediminas    MAČYS,Kaunas,"Podiplominės studijos;Dalhousie universitetas;Ekonomika;1998;Podiplominės studijos;Ž. Muleno universitetas, Prancūzija;Ekonomika;1995;Doktorantūra;Lietuvos energetikos institutas;Šilumos mainai;1984;Aukštasis;Vilniaus universitetas;Fizika;1974","Kelionės, Sportas, ypač vandens sportas","Veisėjai, Lazdijų rajonas, Lietuva",Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,55,"Prancūzų, Rusų, Anglų, Lenkų",Ne,Neturiu
Dzūkijos,1982-02-13,nevedęs / netekėjusi,Ne,"UAB ""Bona natura"", apdailininkas",Algimantas    KUDARAUSKAS,Alytus,Nebaigtas aukštasis;Alytaus kolegija;Įmonių ir įsteigtų administratorius;2006;spec. vidurinis;Alytaus pramonės ir prekybos mokykla;Staklių- staklininkas;2002,Istorija,Alytus,"""Fronto"" partija",Lietuvis (-ė) ,86,"Rusų, Anglų",Ne,Neturiu
Dzūkijos,1960-11-08,vedęs / ištekėjusi,Ne,"LR Aplinkos ministerijos Alytaus regiono aplinkos apsaugos departamentas, Alytaus miesto agentūros vedėjas - vyriausiasis valstybinis aplinkos apsaugos inspektorius",Jaunius    JANONIS,Alytus,Aukštasis universitetinis;Kauno Technologijos universitetas;inžinierius-mechanikas;1985,"žvejyba, kalnų slidinėjimas, baidarių turizmas","Daugai, Alytaus ra.",Liberalų ir centro sąjunga,Lietuvis (-ė) ,72,Rusų,Ne,Neturiu
Dzūkijos,1960-04-07,vedęs / ištekėjusi,Ne,"UAB ""Sonetas ir ko"", direktorius.",Motiejus    JAKUBAUSKAS,Miklusėnų k.,Aukštasis neuniversitetinis;Alytaus kolegija;Verslo vadyba;2003;Aukštesnysis;Aukštadvario ŽŪ technikumas;Zootechnikas;1980,"Numizmatika, Paveldas, Antikvariatas","Raižių km., Punios seniūnija, Alytaus raj.",Partija Tvarka ir teisingumas,Totorius (-ė) ,78,"Rusų, Lenkų, Ukrainiečių",Ne,Neturiu
Dzūkijos,1954-11-26,nevedęs / netekėjusi,Ne,Alytaus apskrities viršininko pavaduotoja,Ona    BALEVIČIŪTĖ,Alytus,Aukštasis;Vilniaus valst. pedagoginis institutas;Fizika;1977,"Gėlės, Knygos, Kelionės","Lazdijų rajonas, Noragėlių apyl., Mangaroto kaimas",Lietuvos socialdemokratų partija,Lietuvis (-ė) ,41,"Rusų, Prancūzų, Lenkų",Ne,Neturiu
Varėnos - Eišiškių,1944-07-27,vedęs / ištekėjusi,Ne,"Ab bankas ""Hansabankas"", valdytojas",Jonas    SEMSĖ,Senosios Varėnos k.,Aukštasis;VU;Ekonomistas;1987;Aukštasis;Vilniaus inžinerinis statybos institutas;Inžinierius;1980,"Medžioklė, Ūkio darbai","Ūtos kaimas, Varėnos rajonas",Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,21,"Vokiečių, Rusų",Ne,Neturiu
Varėnos - Eišiškių,1966-03-03,vedęs / ištekėjusi,Ne,"Varėnos ""Ryto"" vid. m-kla, mokytojas",Giedrius    SAMULEVIČIUS,Varėna,Aukštasis;VPU;Istorija-pedagogika;1996,Turizmas,Varėna,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,128,"Rusų, Anglų",Ne,Neturiu
Varėnos - Eišiškių,1961-10-05,vedęs / ištekėjusi,Ne,"UAb ""Meltra"", direktorius",Rimantas    RADŽIUS,Varėna,Aukštasis;Lietuvos veterinarijos akademija;zooinžinierius;1988,vandens turizmas,Varėnos rajonas Pamerkių kaimas,Liberalų ir centro sąjunga,Lietuvis (-ė) ,84,"Rusų, Vokiečių",Ne,Neturiu
Varėnos - Eišiškių,1964-07-20,vedęs / ištekėjusi,Ne,"Jašiūnų ""Aušros"" vidurinė mokykla, mokytojas.",Algirdas    NAVICKAS,Senosios Varėnos k.,Aukštasis;VVPI;Techninės disciplinos ir darbai;1988,Dainuoju liaudiškos muzikos kapeloje ,Perlojos k. Varėnos rajonas,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,79,"Vokiečių, Rusų",Ne,Neturiu
Varėnos - Eišiškių,1935-05-19,vedęs / ištekėjusi,Ne,pensininkas,Antanas    MICKEVIČIUS,Mickūnų mstl.,Aukštasis;Lietuvos valstybinis KKI;pedagogas;1965,"sportas, filosofija, grožinė literatūra, šachmatai",Baisiogalos mst. radviliškio raj.,"""Fronto"" partija",Lietuvis (-ė) ,27,"Lenkų, Rusų",Ne,Neturiu
Varėnos - Eišiškių,1954-05-08,Išsiskyręs(-usi),Ne,"Varėnos ""Ryto"" vidurinė mokykla, mokytoja",Angelė    MALINOVSKIENĖ,Varėna,"Aukštasis;Vilniaus Universitetas;Geografas, dėstytojas;1977","Literatūra, Sportas, Kelionės",Kazimieravo km. Varėnos raj. Lietuvos Respublika,Lietuvos socialdemokratų partija,Lietuvis (-ė) ,96,"Lenkų, Rusų",Ne,Neturiu
Varėnos - Eišiškių,1979-06-08,vedęs / ištekėjusi,Ne,"Varėnos ""Ąžuolo"" vidurinė mokykla, mokytoja",Rita    LYSENKO,Varėna,Aukštasis universitetinis;VPU;Geografija;2003,"Kelionės, turistiniai žygiai, Sportas",Varėna,Leiboristų partija,Lietuvis (-ė) ,62,"Anglų, Rusų, Lenkų",Ne,Neturiu
Varėnos - Eišiškių,1971-03-30,Nenurodė,Ne,"UAB ""Verslo ratas"", šaltkalvis-suvirintojas",Algis    KAŠĖTA,Voriškių k.,,žvejyba,Varėna,Lietuvos laisvės sąjunga, ,,"Rusų, Lenkų",Ne,Neturiu
Varėnos - Eišiškių,1962-12-20,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Seimas, Seimo narys, Nacionalinio saugumo ir gynybos k-to vicepirmininkas",Algis    KAŠĖTA,Vilnius,Aukštasis;Vilniaus Universitetas;Istorikas;1991,"Partizaninio karo Lietuvoje 1944-1953 tyrinėjimas, Istorinė, grožinė literatūra, Muzika, Tinklinis",Mergežerio km. Varėnos rajonas,Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,5,"Rusų, Lenkų, Anglų",Ne,Neturiu
Varėnos - Eišiškių,1958-05-03,vedęs / ištekėjusi,Ne,LRS narys,Gediminas    JAKAVONIS,Glūko k.,Aukštasis;VU;Ekonomistas;1981,">
										
											17. Visuomeninė veikla <b>Nenurodė",Varėna,Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,18,"Prancūzų, Rusų, Lenkų",Ne,Neturiu
Varėnos - Eišiškių,1946-01-01,vedęs / ištekėjusi,Ne,"Lietuvai pagrąžinti draugija, valdybos pirmininkas",Juozas    DINGELIS,Vilnius,Aukštasis;LŽŪA Miškų fakultetas;inž.-miškininkas;1975,"daina, knyga, sportas",Varėnos raj. Valkininkų sen. Čižiūnų km.,"Partija ""Jaunoji Lietuva""",Lietuvis (-ė) ,23,"Vokiečių, Rusų, Lenkų",Ne,Neturiu
Varėnos - Eišiškių,1974-09-14,Nenurodė,Ne,"UAB CASA VINICOLA ""CONTE DI CAPRI"", vykdančioji direktorė",Vinifrida    ČESNULEVIČIŪTĖ,Vilnius,Aukštasis;Vilniaus Gedimino technikos universitetas;aplinkos apsaugos inžinierė;2005,"A ""CONTE DI CAPRI"", vykdančioji direktorė",Verėnos,Tautos prisikėlimo partija, ,69,"Anglų, Vokiečių, Rusų",Ne,Neturiu
Varėnos - Eišiškių,1963-01-28,vedęs / ištekėjusi,Ne,"UAB ""Verslo saugos agentūra"", direktorius",Kastytis    BRAZIULIS,Vilnius,Aukštasis;VSK akademija Maskvoje;Teisininkas;Aukštasis;Vilniaus pedagoginis universitetas;Eonomistas;2008;Aukštasis;Vilniaus statybos technikumas;geodezininkas - inžinierius;1982,"žvejyba, gamta, knygos","Rietavo m. , Plungės raj., Lietuva",Pilietinės demokratijos partija,Lietuvis (-ė) ,7,"Anglų, Rusų",Ne,Neturiu
Lazdijų - Druskininkų,1947-06-12,vedęs / ištekėjusi,Ne,šiuo metu jokių pareigų neužima,Juozas    ŠARKUS,Grūto k.,"Aspirantūra;Mokslų akademijos Ekonomikos institutas (TSRS, Maskva);naujų technologijų ir investicijų ekonomika;1982;Aukštasis;Kauno politechnikos institutas;automatizavimas, inžinierius;1973;Aukštesnysis;Šiaulų politechnikumas;technikas-elektrikas;1964","pirtis, sportas, muzika, turizmas, medžio darbai",Tauragės raj. Batakių kaimas,Liberalų ir centro sąjunga,Lietuvis (-ė) ,46,"Anglų, Rusų",Ne,Neturiu
Lazdijų - Druskininkų,1942-12-01,vedęs / ištekėjusi,Ne,"VGTU Intermodalinio transporto ir logistikos kompetencijos centro direkt., vyresn. mokslo darb.",Algirdas    ŠAKALYS,Vilnius,Doktorantūra;Vilniaus Gedimino technikos universitetas;Transporto technologijos;1996;Aspirantūra;Vilniaus universitetas Pramonės ekonomikos fakultetas;Ekonomika;1974;Aukštasis;Kauno politechnikos instituto Vilniaus filialas (dabar - VGTU);Inžinierius;1969,"Sportas, Politinė literatūra",Molėtų raj. Šakių kaime,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,27,"Anglų, Rusų",Ne,Neturiu
Lazdijų - Druskininkų,1960-10-17,vedęs / ištekėjusi,Ne,"UAB ""Česlovas ir kompanija"", Druskininkų filialo direktorius",Tomas    STASKEVIČIUS,Druskininkai,Aukštasis;Vilniaus inžinierinis statybos institutas;statybos inžinier.;1984;Aukštesnysis;Vilniaus statybos technikumas;statybos technika;1980;Aštuonios klasės;Druskininkų I-oji vid. m-la;1976,"kultūriniai renginiai, kelionės","Kalvarija, Marijampolės raj.",Darbo partija,Lietuvis (-ė) ,75,"Lenkų, Rusų",Ne,Neturiu
Lazdijų - Druskininkų,1963-08-24,Nenurodė,Ne,"Druskininkų savivaldybės Paslaugų ūkis, darbų vykdytojas",Zygmunt    SENKEVIČ,Druskininkai,Aukštesnysis;Vilniaus statybos technikumas;Statybos technikas;1982,"Turizmas, Žvejyba",Druskininkai,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,42,"Lenkų, Rusų",Ne,Neturiu
Lazdijų - Druskininkų,1956-11-28,Nenurodė,Ne,Nenurodė,Benius    RŪTELIONIS,Staidarų k.,,">
										
											17. Visuomeninė veikla <b>Nenurodė",Nenurodė,Lietuvos valstiečių liaudininkų sąjunga, ,32,,Ne,Neturiu
Lazdijų - Druskininkų,1969-11-04,vedęs / ištekėjusi,Ne,"UAB ""Lintera"" Vilniaus filialas, filialo direktorė",Rasa    PETRAUSKIENĖ,Vilnius,"Aukštasis, magistras;Vilniaus universitetas (TVM);Tarptautinė prekyba;2004;Aukštasis, bakalauras;Vilniaus universitetas;prekybos ekonomika;1991","kelionės, knygos",Vilnius,Tautos prisikėlimo partija,Lietuvis (-ė) ,18,"Vokiečių, Rusų, Lenkų",Ne,Neturiu
Lazdijų - Druskininkų,1977-05-04,vedęs / ištekėjusi,Ne,"UAB ""Gyvenimo investicija"" direktoriaus pavaduotojas",Dmitrijus    MELNIČENKO,Vilnius,Aukštasis;VGTU;transporto ekonomika;2000,"sportas, muzika",Trakų raj. Grigiškės,"""Fronto"" partija", ,64,"Rusų, Anglų, Lenkų",Ne,Neturiu
Lazdijų - Druskininkų,1966-08-28,vedęs / ištekėjusi,Ne,"Alytaus miesto savivaldybės biudžetinė įstaiga priešgaisrinės apsaugos tarnyba, direktorius",Raimundas    MARKAUSKAS,Alytus,Aukštasis;KTU Mechanikos fakultetas;Pramonės šiluminės energetikos inžinierius;1991,Laisvalaikio praleidimas gamtoje,Alytus,Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,41,"Anglų, Rusų, Lenkų",Ne,Neturiu
Lazdijų - Druskininkų,1937-09-07,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Seimas, Seimo narys, LR Seimo Užsienio reikalų komiteto pirmininkas",Justinas    KAROSAS,Vilnius,Aspirantūra;Vilniaus universitetas;Filosofija;1969;Aukštasis;Vilniaus Universitetas;Lietuvių k. ir literatūra;1963,"Meistravimas bei ūkininkavimas sodyboje, Gerų detektyvinių romanų skaitymas","Lietuva, Marijampolės raj., Sangrūda",Lietuvos socialdemokratų partija,Lietuvis (-ė) ,12,"Rusų, Vokiečių",Ne,Neturiu
Lazdijų - Druskininkų,1949-11-23,Išsiskyręs(-usi),Ne,"J. Dailydės komercinė įmonė ""Jota"", savininkas.",Jonas    DAILYDĖ,Druskininkai,Specialus vidurinis;Vilniaus statybos technikumas;Pramoninės civilinės statybos technikas;1970,"Žvejyba, Grybavimas",Varėnos raj. Neravų kaimas. Lietuvos Respublika,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,50,Rusų,Ne,Neturiu
Lazdijų - Druskininkų,1961-04-09,vedęs / ištekėjusi,Ne,"UAB ""BGV"", direktorius",Vitas    BUTRIMAS,Kaunas,Aukštasis;Kauno Antano Sniečkaus Politechnikos Institutas;Inžinieriaus-statybininko-technologo;1985,"kelionės, pasivaikščiojimai gamtoje, knygų kaitymas, sportas","Seirijų m., Lazdijų r.",Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,62,"Rusų, Anglų",Ne,Neturiu
Naujamiesčio,1960-10-08,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos finansų ministerija, ministras",Rimantas    ŠADŽIUS,Vilnius,Aukštasis;Vilniaus universitetas;Teisininkas;2002;Aukštasis;Maskvos M. Lomonosovo valstybinis universitetas;Chemikas;1983,"Užsienio kalbos, Klasikinė muzika",Vilnius,Lietuvos socialdemokratų partija,Lietuvis (-ė) ,18,"Anglų, Rusų, Lenkų, Vokiečių, Prancūzų",Ne,Neturiu
Naujamiesčio,1952-03-14,vedęs / ištekėjusi,Ne,"Ūkio ministerija, ministras",Vytas    NAVICKAS,Vilnius,Aukštasis;Vilniaus Universitetas;Ekonomistas - matematikas;1975,"Sportas, Medžioklė","Lietuva, Lazdijų raj. Degėsių km.",Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,2,"Vokiečių, Rusų, Anglų",Ne,Neturiu
Naujamiesčio,1979-07-13,vedęs / ištekėjusi,Ne,"UAB ""Bukra"", UAB ""Kindis"", statybos direktorius",Andrius    MAZURONIS,Vilnius,Aukštasis;VGTU;Stat. inžinierius;2003,"Lauko tenisas, Motociklai",Šiauliai,Partija Tvarka ir teisingumas,Lietuvis (-ė) ,22,"Anglų, Rusų",Ne,Neturiu
Naujamiesčio,1971-10-13,nevedęs / netekėjusi,Ne,"Vilniaus m. savivaldybė, mero pavaduotojas",Artur    LIUDKOVSKI,Vilnius,Aukštasis universitetinis;VILNIAUS UNIVERSITETAS;EKONOMISTAS;1994,"Kelionės, Istorija, Literatūra",LIETUVA,Lietuvos lenkų rinkimų akcija,Lenkas (-ė) ,138,"Rusų, Vokiečių",Ne,Neturiu
Naujamiesčio,1976-12-17,vedęs / ištekėjusi,Ne,"UAB ""Viltransma"", direktorius",Sergej    KOZLOVSKIJ,Vilnius,Aukštasis;Rytų Ukrainos valstybinis universitetas;Buhalteris;1998,Sportas,Vilnius,"""Fronto"" partija",Lenkas (-ė) ,21,"Anglų, Rusų",Ne,Neturiu
Naujamiesčio,1952-09-25,vedęs / ištekėjusi,Ne,"LR SEIMAS, Seimo nario padėjėjas-sekretorius",Juozas    KIRDEIKIS,Vilnius,Aukštasis;Vilniaus Universitetas;Žurnalistas;1981;spec. vidurinis;Vilniaus Mechanikos techn.;Mechanikas;1972;Nebaigtas vidurinis;Svėdasų vid. m-la;1968, nario padėjėjas-sekretorius,"Gykių km., Anykščių raj.",Darbo partija,Lietuvis (-ė) ,89,"Rusų, Anglų",Ne,Neturiu
Naujamiesčio,1949-06-01,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Seimas, Seimo narė",Irena    DEGUTIENĖ,Vilnius,"Aukštasis;VU Medicinos fakultetas, gydomoji specialybė;Gydytoja;1974","muzika, dviračių sportas, dailė","Šiaulių miestas, Lietuva",Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvis (-ė) ,5,"Rusų, Anglų, Lenkų",Ne,Neturiu
Naujamiesčio,1953-05-09,Našlys(-ė),Ne,Nenurodė,Raimonda    DAUNIENĖ,Vilnius,Aukštasis;Lietuvos muzikos ir teatro akademija;Smuikininkė;1977,"Kultūriniai, Meniniai, muzikiniai",Vilnius,Tautos prisikėlimo partija,Lietuvis (-ė) ,35,"Vokiečių, Rusų",Ne,Neturiu
Naujamiesčio,1959-01-02,Nenurodė,Ne,LRS Seimo narys,Vytautas    BOGUŠIS,Vilnius,,"/b><br>
										
											17. Visuomeninė veikla <b>Nenurodė",Nenurodė,Liberalų ir centro sąjunga,Lietuvis (-ė) ,3,,Ne,Neturiu
Naujamiesčio,1951-07-20,vedęs / ištekėjusi,Ne,"LIETUVOS KINEMATOGRAFININKŲ SĄJUNGA, AKTORĖ",Gražina    BAIKŠTYTĖ,Vilnius,"Aukštasis;VISASĄJUNGINIS VALSTYBINIS KINEMATOGRAFIJOS INSTITUTAS;KINO, TV IR TEATRO AKTORĖ;1977","KELIONĖS, MENO ŠAKOS: KINAS, TEATRAS, ŠOKIO MENAS","VILNIAUS M., LIETUVA",Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,14,"Latvių, Rusų, Lietuvių, Anglų",Ne,Neturiu
Širvintų - Vilniaus,1955-09-24,vedęs / ištekėjusi,Ne,"LR Seimas, LR Seimo narė",Leokadija    POČIKOVSKA,Pazaliesės vs.,Aukštasis;VU;Ekonomistė;1992,"Muzika, Literatūra, Sodininkystė",Baltarusija,Lietuvos valstiečių liaudininkų sąjunga,Lenkas (-ė) ,9,"Anglų, Rusų, Lenkų",Ne,Neturiu
Molėtų - Švenčionių,1960-01-21,vedęs / ištekėjusi,Ne,"Vilniaus Olimpinis sporto centras, treneris",Zenonas    ZENKEVIČIUS,Švenčionėliai,Aukštasis;Lietuvos kūno kultūros institutas;lengvoji atletika;1982,"Automobiliai, grybavimas","Švenčionių raj., Strūnaičio sen., Svitailiškės km.",Liberalų ir centro sąjunga,Lietuvis (-ė) ,81,"Rusų, Lenkų",Ne,Neturiu
Ignalinos - Švenčionių,1958-08-29,Išsiskyręs(-usi),Ne,"TŪB ""Energija"", generalinio direktoriaus pavaduotojas",Algirdas    ŽIČKUS,Ignalina,Specialus vidurinis;Vilniaus S. Žuko prekybos technikumas;Prekių žinovas;Aukštasis;Vilniaus universitetas;Ekonomistas;1984,"Sportas, Žūklė, Medžioklė",Kelmė,Leiboristų partija,Lietuvis (-ė) ,47,"Anglų, Rusų, Lietuvių",Ne,Neturiu
Zarasų - Visagino,1983-05-10,nevedęs / netekėjusi,Ne,Kūrybinis darbas (pagal autorines sutartis),Žilvinas    ŽUSINAS,Vilnius,Aukštasis;VGTU;vadyba ir verslo administravimas (magistras);2007;Aukštasis;VGTU;vadyba ir verslo administravimas (bakalauras);2005,"muzika, teatras, informacinės technologijos, psichologija",Švenčionys,Tautos prisikėlimo partija,Lietuvis (-ė) ,62,"Anglų, Rusų, Vokiečių",Ne,Neturiu
Utenos,1950-04-23,vedęs / ištekėjusi,Ne,"Vilniaus miesto savivaldybė, departamento direktorius.",Kazys    ZULONAS,Vilnius,Aukštasis;Maskvos inžinerinė priešgaisrinė mokykla;Priešgaisrinės saugos inžinierius;1978,"Sodininkystė, Kelionės, Sportas","Kupiškio raj. Šimonių apyl., Nociūnų kaimas",Partija Tvarka ir teisingumas,Lietuvis (-ė) ,20,Rusų,Ne,Neturiu
Rokiškio,1960-05-27,vedęs / ištekėjusi,Ne,"Rokiškio Juozo Tumo-Vaižganto vidurinė mokykla, direktorius.",Egidijus    VILIMAS,Rokiškis,Aukštasis universitetinis;VPI;Istorija-teisė;1985,"Istorinių įvykių analizė, Bendravimas, Sportas","Papiškių km., Rokiškio raj.",Partija Tvarka ir teisingumas,Lietuvis (-ė) ,7,"Vokiečių, Rusų",Ne,Neturiu
Anykščių - Kupiškio,1954-09-01,vedęs / ištekėjusi,Ne,"Anykščių rajono savivaldybės taryba, Tarybos narys",Ričardas    SARGŪNAS,Anykščiai,Aukštasis;Vilniaus inžinierinis statybos institutas;Automobilių transporto ekonomika ir organizavimas;1977,"sportas, poilsis gamtoje, skaitymas",Ukmergės miestas,Darbo partija,Lietuvis (-ė) ,30,"Rusų, Anglų",Ne,Neturiu
Biržų - Kupiškio,1959-08-26,vedęs / ištekėjusi,Ne,"SIA ""Voldemars"", generalinis direktorius",Valdemaras    VALKIŪNAS,Biržai,Aukštasis;Riga Teacher training and educational manage acade;Psichologas;2005,"Keliauti, Bendrauti, Skaityti knygas",Lietuva,Išsikėlė  pats  ,Lietuvis (-ė) ,,"Latvių, Rusų, Anglų",Ne,Neturiu
Pasvalio - Panevėžio,1966-11-28,vedęs / ištekėjusi,Ne,"IĮ ""A. Valinsko firma"", savininkas",Arūnas    VALINSKAS,Vilnius,"Aukštasis teisės mokslų magistras;Vilniaus universitetas, Teisės fakultetas;Nenurodė;2002",žūklė,"Lietuva, Lazdijai",Tautos prisikėlimo partija,Lietuvis (-ė) ,1,"Rusų, Anglų",	 ,Neturiu
Pakruojo - Joniškio,1956-09-20,vedęs / ištekėjusi,Ne,"AB ""Meresta"", gamybos direktorius",Algirdas    VEPŠTAS,Linksmučių k.,Aukštasis;LŽŪA;Hidromelioracija;1979,"Muzika, Kelionės, Sportas",Šakiai,Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,59,Rusų,Ne,Neturiu
Šiaulių kaimiškoji,1965-08-18,vedęs / ištekėjusi,Ne,"ŠIAULIŲ APSKRITIES PSICHIATRIJOS LIGONINĖ, UŽIMTUMO TERAPEUTĖ",Daiva    VOLKOVIENĖ,Kužių mstl.,Aukštasis;ŠIAULIŲ UNIVERSITETAS;SOCIALINIS PEDAGOGAS-PSICHOLOGAS;2005,KNYGŲ SKAITYMAS,"VIJOLIŲ K., ŠIAULIŲ R.",Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,80,Rusų,Ne,Neturiu
Radviliškio,1955-09-30,vedęs / ištekėjusi,Ne,"LR Seimas, Seimo narė",Zita    ŽVIKIENĖ,Radviliškis,Aukštasis;Vilniaus universitetas;teisininkas;2001, narė,Selvestrų km. Laukuvos sen. Šilalės raj. sav.,Darbo partija,Lietuvis (-ė) ,17,Rusų,Ne,Neturiu
Kėdainių,1981-12-07,nevedęs / netekėjusi,Ne,"Vaikų ir jaunimo klubas „Saulutė“, choreografė",Natalija    TOKAREVA,Klaipėda,Aukštasis universitetinis;Klaipėdos universitetas;Choreografė;2005,Šokiai,Kėdainiai,"""Fronto"" partija",Rusas (-ė) ,34,"Rusų, Anglų",Ne,Neturiu
Raseinių,1971-04-21,vedęs / ištekėjusi,Ne,"Raseinių raj. savivaldybės administracija, direktorius",Darius    ULICKAS,Raseiniai,Aukštasis;LŽŪA;Ekonomika;1994;Vidurinis;J. Paukštelio vid. m-kla;1989,"Muzika, Kino filmai, Medžioklė",Prienai,Naujoji sąjunga (socialliberalai),Lietuvis (-ė) ,16,"Rusų, Anglų",Ne,Neturiu
Kelmės,1961-01-01,nevedęs / netekėjusi,Ne,"UAB ""VGC"" Klaipėdoje, direktorius",Antanas    VYŠNIAUSKAS,Klaipėda,Aukštasis;Kauno Technologijos universitetas;inžinierius technologas;1984,"istorija, etnografija, kelionės, dviračių sportas",Kelmė,Tautos prisikėlimo partija,Lietuvis (-ė) ,57,"Rusų, Anglų",Ne,Neturiu
Telšių,1957-06-10,vedęs / ištekėjusi,Ne,Nepriklausomybės Akto signataras,Gediminas    VAGNORIUS,Vilnius,Lietuvos Respublikos Seimo narys:;1990 - 1992;1992 - 1996;1996 - 2000;2000 - 2004,"Knygos, sportas, kelionės, koncertai","Vilkaičių k., Plungės r.",Išsikėlė  pats  ,Lietuvis (-ė) ,,"Vokiečių, Rusų",Ne,Neturiu
Akmenės - Joniškio,1955-12-05,vedęs / ištekėjusi,Ne,Ūkininkas,Pranciškus    ZARAMBA,Gumbakių k.,Aukštesnysis;Klaipėdos ž. ū. technikumas;Technikos mechanikas;1983,"r>
										
											17. Visuomeninė veikla <b>Medžiotojų būrelio pirmininkas",Dainių km. Šiaulių raj.,Lietuvos valstiečių liaudininkų sąjunga,Lietuvis (-ė) ,95,Rusų,Ne,Neturiu
Akmenės - Joniškio,1965-07-21,vedęs / ištekėjusi,Ne,"Joniškio rajono savivaldybės administracija, direktorius",Raimundas    TIŠKEVIČIUS,Joniškis,Aukštasis;Lietuvos žemės ūkio akademija;Inžinierius žemėtvarkininkas;1988,"šokiai, medžioklė, žūklė","Joniškis, Lietuvos Respublika",Lietuvos Respublikos liberalų sąjūdis,Lietuvis (-ė) ,81,"Rusų, Lietuvių",Ne,Neturiu
Akmenės - Joniškio,1970-07-23,vedęs / ištekėjusi,Ne,"Lietuvos Respublikos Ryšių reguliavimo tarnyba, vyriausioji specialistė",Ilona    STANKEVIČIENĖ,Vilnius,"aukštasis universitetinis magistras;Vilniaus universitetas;ekonomika, finansai;2005;aukštasis universitetinis bakalauras;Vilniaus universitetas;ekonomika, finansai;2003;Aukštesnysis;Lengvosios pramonės technikumas (dabar - Vilniaus kolegija);drabužių modeliavimas ir konstravimas;1991","investavimas, dizainas","Vilnius, Lietuva",Tautos prisikėlimo partija,Lietuvis (-ė) ,45,"Rusų, Anglų",Ne,Neturiu
Akmenės - Joniškio,1960-07-31,nevedęs / netekėjusi,Ne,"UAB „Air partners“, direktorius",Igor    MOTYGIN,Vilnius,Aukštesnysis;Vilniaus politechnikumas;Automobilinio transporto eksploatacija;1986,"ers“, direktorius","Lietuvos Respublika, Vilnius","""Fronto"" partija",Rusas (-ė) ,70,Rusų,Ne,Neturiu
