apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Telšių (Nr. 40),0.0335,Krikščionių demokratų sąjunga,56,2,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0248,Lietuvos krikščionių demokratų partija,41,2,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0191,Lietuvos centro sąjunga,32,1,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0104,Lietuvos valstiečių partija,18,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0052,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",9,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0046,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",8,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.004,"Lietuvos partija ""Socialdemokratija 2000""",7,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0029,Lietuvių tautininkų sąjunga,5,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0023,Lietuvos laisvės sąjunga,4,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.0006,Lietuvos lenkų rinkimų akcija,1,-,P.Cvirkos (Nr. 10)
Telšių (Nr. 40),0.2996,A.Brazausko socialdemokratinė koalicija,309,23,Sedos (Nr. 9)
Telšių (Nr. 40),0.2229,Nuosaikiųjų konservatorių sąjunga,234,13,Sedos (Nr. 9)
Telšių (Nr. 40),0.1661,Naujoji sąjunga (socialliberalai),175,9,Sedos (Nr. 9)
Telšių (Nr. 40),0.1083,Lietuvos liberalų sąjunga,115,5,Sedos (Nr. 9)
Telšių (Nr. 40),0.0794,Tėvynės sąjunga  (Lietuvos konservatoriai),84,4,Sedos (Nr. 9)
Telšių (Nr. 40),0.0505,Krikščionių demokratų sąjunga,52,4,Sedos (Nr. 9)
Telšių (Nr. 40),0.0217,Lietuvos centro sąjunga,21,3,Sedos (Nr. 9)
Telšių (Nr. 40),0.0199,Lietuvos krikščionių demokratų partija,21,1,Sedos (Nr. 9)
Telšių (Nr. 40),0.0081,Lietuvos valstiečių partija,9,-,Sedos (Nr. 9)
Telšių (Nr. 40),0.0072,Lietuvių tautininkų sąjunga,7,1,Sedos (Nr. 9)
Telšių (Nr. 40),0.0054,Lietuvos laisvės sąjunga,4,2,Sedos (Nr. 9)
Telšių (Nr. 40),0.0054,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",6,-,Sedos (Nr. 9)
Telšių (Nr. 40),0.0036,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",4,-,Sedos (Nr. 9)
Telšių (Nr. 40),0.0009,"Lietuvos partija ""Socialdemokratija 2000""",-,1,Sedos (Nr. 9)
Telšių (Nr. 40),0.0009,Lietuvos lenkų rinkimų akcija,1,-,Sedos (Nr. 9)
Telšių (Nr. 40),0.2709,A.Brazausko socialdemokratinė koalicija,298,6,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.221,Nuosaikiųjų konservatorių sąjunga,237,11,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.1934,Naujoji sąjunga (socialliberalai),200,17,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.1319,Lietuvos liberalų sąjunga,143,5,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0847,Tėvynės sąjunga  (Lietuvos konservatoriai),93,2,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0285,Krikščionių demokratų sąjunga,31,1,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0178,Lietuvos krikščionių demokratų partija,19,1,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0152,Lietuvos centro sąjunga,17,-,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0107,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",12,-,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0098,Lietuvos valstiečių partija,10,1,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0053,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",6,-,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0045,Lietuvos laisvės sąjunga,5,-,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0036,"Lietuvos partija ""Socialdemokratija 2000""",4,-,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.0027,Lietuvių tautininkų sąjunga,2,1,Kęstučio (Nr. 8)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Kęstučio (Nr. 8)
Telšių (Nr. 40),0.284,Nuosaikiųjų konservatorių sąjunga,87,7,Kalno (Nr. 7)
Telšių (Nr. 40),0.1813,A.Brazausko socialdemokratinė koalicija,59,1,Kalno (Nr. 7)
Telšių (Nr. 40),0.1571,Lietuvos liberalų sąjunga,51,1,Kalno (Nr. 7)
Telšių (Nr. 40),0.1239,Naujoji sąjunga (socialliberalai),38,3,Kalno (Nr. 7)
Telšių (Nr. 40),0.1027,Tėvynės sąjunga  (Lietuvos konservatoriai),32,2,Kalno (Nr. 7)
Telšių (Nr. 40),0.0483,Krikščionių demokratų sąjunga,16,-,Kalno (Nr. 7)
Telšių (Nr. 40),0.0393,Lietuvos krikščionių demokratų partija,11,2,Kalno (Nr. 7)
Telšių (Nr. 40),0.0272,Lietuvos valstiečių partija,8,1,Kalno (Nr. 7)
Telšių (Nr. 40),0.0181,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",6,-,Kalno (Nr. 7)
Telšių (Nr. 40),0.0091,Lietuvos centro sąjunga,3,-,Kalno (Nr. 7)
Telšių (Nr. 40),0.006,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",2,-,Kalno (Nr. 7)
Telšių (Nr. 40),0.003,Lietuvių tautininkų sąjunga,1,-,Kalno (Nr. 7)
Telšių (Nr. 40),,Lietuvos laisvės sąjunga,-,-,Kalno (Nr. 7)
Telšių (Nr. 40),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Kalno (Nr. 7)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Kalno (Nr. 7)
Telšių (Nr. 40),0.2688,Nuosaikiųjų konservatorių sąjunga,369,10,Šviesos (Nr. 6)
Telšių (Nr. 40),0.2064,A.Brazausko socialdemokratinė koalicija,283,8,Šviesos (Nr. 6)
Telšių (Nr. 40),0.1652,Lietuvos liberalų sąjunga,231,2,Šviesos (Nr. 6)
Telšių (Nr. 40),0.1553,Naujoji sąjunga (socialliberalai),214,5,Šviesos (Nr. 6)
Telšių (Nr. 40),0.1028,Tėvynės sąjunga  (Lietuvos konservatoriai),138,7,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0291,Krikščionių demokratų sąjunga,39,2,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0227,Lietuvos krikščionių demokratų partija,32,-,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0184,Lietuvos centro sąjunga,25,1,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0092,Lietuvos valstiečių partija,13,-,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0071,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",10,-,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0071,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",10,-,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0035,Lietuvių tautininkų sąjunga,4,1,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0021,Lietuvos laisvės sąjunga,3,-,Šviesos (Nr. 6)
Telšių (Nr. 40),0.0021,"Lietuvos partija ""Socialdemokratija 2000""",3,-,Šviesos (Nr. 6)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Šviesos (Nr. 6)
Telšių (Nr. 40),0.2698,Nuosaikiųjų konservatorių sąjunga,348,24,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.2429,A.Brazausko socialdemokratinė koalicija,320,15,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.1516,Lietuvos liberalų sąjunga,205,4,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.1371,Naujoji sąjunga (socialliberalai),182,7,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0812,Tėvynės sąjunga  (Lietuvos konservatoriai),105,7,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0399,Krikščionių demokratų sąjunga,54,1,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0261,Lietuvos krikščionių demokratų partija,36,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0218,Lietuvos centro sąjunga,29,1,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0102,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",13,1,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0073,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",10,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0051,Lietuvių tautininkų sąjunga,7,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0036,"Lietuvos partija ""Socialdemokratija 2000""",5,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0029,Lietuvos valstiečių partija,4,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.0007,Lietuvos laisvės sąjunga,1,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Muziejaus (Nr. 5)
Telšių (Nr. 40),0.2783,A.Brazausko socialdemokratinė koalicija,430,23,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.2285,Nuosaikiųjų konservatorių sąjunga,347,25,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.1873,Lietuvos liberalų sąjunga,292,13,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.1499,Naujoji sąjunga (socialliberalai),234,10,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.059,Tėvynės sąjunga  (Lietuvos konservatoriai),93,3,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0264,Krikščionių demokratų sąjunga,43,-,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0215,Lietuvos krikščionių demokratų partija,22,13,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0147,Lietuvos centro sąjunga,24,-,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0104,Lietuvos valstiečių partija,15,2,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.008,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",13,-,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0061,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",9,1,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0049,Lietuvos laisvės sąjunga,7,1,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0043,"Lietuvos partija ""Socialdemokratija 2000""",6,1,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.0006,Lietuvių tautininkų sąjunga,1,-,Žemaitės (Nr. 4)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Žemaitės (Nr. 4)
Telšių (Nr. 40),0.287,A.Brazausko socialdemokratinė koalicija,351,19,Respublikos (Nr. 3)
Telšių (Nr. 40),0.2382,Nuosaikiųjų konservatorių sąjunga,292,15,Respublikos (Nr. 3)
Telšių (Nr. 40),0.1327,Naujoji sąjunga (socialliberalai),160,11,Respublikos (Nr. 3)
Telšių (Nr. 40),0.1218,Lietuvos liberalų sąjunga,150,7,Respublikos (Nr. 3)
Telšių (Nr. 40),0.1109,Tėvynės sąjunga  (Lietuvos konservatoriai),136,7,Respublikos (Nr. 3)
Telšių (Nr. 40),0.031,Lietuvos krikščionių demokratų partija,37,3,Respublikos (Nr. 3)
Telšių (Nr. 40),0.031,Krikščionių demokratų sąjunga,37,3,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0194,Lietuvos centro sąjunga,24,1,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0085,Lietuvos valstiečių partija,8,3,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0054,Lietuvių tautininkų sąjunga,5,2,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0054,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",7,-,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0054,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",7,-,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0023,Lietuvos laisvės sąjunga,3,-,Respublikos (Nr. 3)
Telšių (Nr. 40),0.0008,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Respublikos (Nr. 3)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Respublikos (Nr. 3)
Telšių (Nr. 40),0.3362,A.Brazausko socialdemokratinė koalicija,527,14,Masčio (Nr. 2)
Telšių (Nr. 40),0.1883,Nuosaikiųjų konservatorių sąjunga,291,12,Masčio (Nr. 2)
Telšių (Nr. 40),0.1703,Naujoji sąjunga (socialliberalai),261,13,Masčio (Nr. 2)
Telšių (Nr. 40),0.1516,Lietuvos liberalų sąjunga,234,10,Masčio (Nr. 2)
Telšių (Nr. 40),0.064,Tėvynės sąjunga  (Lietuvos konservatoriai),96,7,Masčio (Nr. 2)
Telšių (Nr. 40),0.0267,Krikščionių demokratų sąjunga,43,-,Masčio (Nr. 2)
Telšių (Nr. 40),0.0242,Lietuvos centro sąjunga,37,2,Masčio (Nr. 2)
Telšių (Nr. 40),0.0143,Lietuvos krikščionių demokratų partija,21,2,Masčio (Nr. 2)
Telšių (Nr. 40),0.0087,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",14,-,Masčio (Nr. 2)
Telšių (Nr. 40),0.0056,Lietuvos valstiečių partija,8,1,Masčio (Nr. 2)
Telšių (Nr. 40),0.005,Lietuvių tautininkų sąjunga,7,1,Masčio (Nr. 2)
Telšių (Nr. 40),0.0044,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",7,-,Masčio (Nr. 2)
Telšių (Nr. 40),0.0006,Lietuvos laisvės sąjunga,1,-,Masčio (Nr. 2)
Telšių (Nr. 40),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Masčio (Nr. 2)
Telšių (Nr. 40),,Lietuvos lenkų rinkimų akcija,-,-,Masčio (Nr. 2)
Telšių (Nr. 40),0.3092,A.Brazausko socialdemokratinė koalicija,513,17,Lygumų (Nr. 1)
Telšių (Nr. 40),0.1984,Naujoji sąjunga (socialliberalai),328,12,Lygumų (Nr. 1)
Telšių (Nr. 40),0.1896,Nuosaikiųjų konservatorių sąjunga,313,12,Lygumų (Nr. 1)
Telšių (Nr. 40),0.1826,Lietuvos liberalų sąjunga,296,17,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0391,Tėvynės sąjunga  (Lietuvos konservatoriai),61,6,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0222,Lietuvos centro sąjunga,38,-,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0216,Krikščionių demokratų sąjunga,34,3,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0099,Lietuvos krikščionių demokratų partija,16,1,Lygumų (Nr. 1)
Telšių (Nr. 40),0.007,Lietuvos valstiečių partija,12,-,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0064,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",11,-,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0047,Lietuvos laisvės sąjunga,7,1,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0035,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",6,-,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0029,"Lietuvos partija ""Socialdemokratija 2000""",5,-,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0023,Lietuvių tautininkų sąjunga,4,-,Lygumų (Nr. 1)
Telšių (Nr. 40),0.0006,Lietuvos lenkų rinkimų akcija,1,-,Lygumų (Nr. 1)
Kelmės (Nr. 41),0.3584,A.Brazausko socialdemokratinė koalicija,73,8,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.1637,Naujoji sąjunga (socialliberalai),32,5,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.1239,Lietuvos valstiečių partija,26,2,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0929,Lietuvos liberalų sąjunga,21,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0708,Lietuvos krikščionių demokratų partija,12,4,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0708,Tėvynės sąjunga  (Lietuvos konservatoriai),14,2,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0398,Nuosaikiųjų konservatorių sąjunga,8,1,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.031,Lietuvių tautininkų sąjunga,5,2,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0265,Krikščionių demokratų sąjunga,4,2,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0088,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",2,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0044,Lietuvos centro sąjunga,1,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0044,Lietuvos laisvės sąjunga,1,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.0044,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),,Lietuvos lenkų rinkimų akcija,-,-,Vidsodžio (Nr. 40)
Kelmės (Nr. 41),0.3723,A.Brazausko socialdemokratinė koalicija,102,3,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.2943,Naujoji sąjunga (socialliberalai),82,1,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0816,Lietuvos liberalų sąjunga,22,1,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0674,Tėvynės sąjunga  (Lietuvos konservatoriai),19,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0567,Lietuvos krikščionių demokratų partija,15,1,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0496,Lietuvos valstiečių partija,13,1,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0319,Krikščionių demokratų sąjunga,8,1,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0142,Nuosaikiųjų konservatorių sąjunga,4,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0106,Lietuvos centro sąjunga,3,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0106,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",3,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0071,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.0035,Lietuvos laisvės sąjunga,1,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),,Lietuvių tautininkų sąjunga,-,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),,"Lietuvos partija ""Socialdemokratija 2000""",-,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),,Lietuvos lenkų rinkimų akcija,-,-,Verpenos (Nr. 39)
Kelmės (Nr. 41),0.3432,A.Brazausko socialdemokratinė koalicija,78,3,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.2754,Lietuvos valstiečių partija,61,4,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.1864,Naujoji sąjunga (socialliberalai),41,3,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0847,Nuosaikiųjų konservatorių sąjunga,19,1,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0424,Lietuvos liberalų sąjunga,10,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0212,Tėvynės sąjunga  (Lietuvos konservatoriai),4,1,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0169,Lietuvos krikščionių demokratų partija,4,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0169,Krikščionių demokratų sąjunga,4,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0085,"Lietuvos partija ""Socialdemokratija 2000""",2,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.0042,Lietuvos laisvės sąjunga,1,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),,Lietuvių tautininkų sąjunga,-,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),,Lietuvos centro sąjunga,-,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),,Lietuvos lenkų rinkimų akcija,-,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Valpainių (Nr. 38)
Kelmės (Nr. 41),0.3881,A.Brazausko socialdemokratinė koalicija,107,4,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.1958,Naujoji sąjunga (socialliberalai),53,3,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.1189,Lietuvos liberalų sąjunga,31,3,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0769,Lietuvos krikščionių demokratų partija,19,3,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0629,Lietuvos valstiečių partija,15,3,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0629,Tėvynės sąjunga  (Lietuvos konservatoriai),15,3,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0315,Krikščionių demokratų sąjunga,7,2,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.021,Nuosaikiųjų konservatorių sąjunga,5,1,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0105,Lietuvos centro sąjunga,1,2,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0105,Lietuvos laisvės sąjunga,2,1,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.007,"Lietuvos partija ""Socialdemokratija 2000""",2,-,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.007,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,-,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0035,Lietuvių tautininkų sąjunga,-,1,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.0035,Lietuvos lenkų rinkimų akcija,1,-,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",-,-,Vaiguvos (Nr. 37)
Kelmės (Nr. 41),0.5061,A.Brazausko socialdemokratinė koalicija,226,23,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.2114,Naujoji sąjunga (socialliberalai),97,7,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0894,Lietuvos liberalų sąjunga,41,3,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0589,Nuosaikiųjų konservatorių sąjunga,26,3,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0528,Tėvynės sąjunga  (Lietuvos konservatoriai),24,2,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0203,Lietuvos valstiečių partija,8,2,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0183,Lietuvos krikščionių demokratų partija,9,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0163,Krikščionių demokratų sąjunga,8,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0102,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",4,1,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0061,Lietuvių tautininkų sąjunga,3,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.0061,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",3,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.002,Lietuvos laisvės sąjunga,1,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.002,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),,Lietuvos centro sąjunga,-,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),,Lietuvos lenkų rinkimų akcija,-,-,Užvenčio m. (Nr. 36)
Kelmės (Nr. 41),0.2855,Naujoji sąjunga (socialliberalai),209,8,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.2842,A.Brazausko socialdemokratinė koalicija,207,9,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.1013,Tėvynės sąjunga  (Lietuvos konservatoriai),74,3,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0974,Lietuvos liberalų sąjunga,72,2,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0868,Lietuvos krikščionių demokratų partija,57,9,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0408,Nuosaikiųjų konservatorių sąjunga,30,1,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0382,Krikščionių demokratų sąjunga,28,1,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0197,Lietuvos valstiečių partija,14,1,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0118,Lietuvių tautininkų sąjunga,8,1,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0105,Lietuvos centro sąjunga,8,-,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0105,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",8,-,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0066,Lietuvos laisvės sąjunga,5,-,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0026,"Lietuvos partija ""Socialdemokratija 2000""",1,1,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0026,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,1,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.0013,Lietuvos lenkų rinkimų akcija,1,-,Tytuvėnų (Nr. 35)
Kelmės (Nr. 41),0.3444,A.Brazausko socialdemokratinė koalicija,279,11,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.3052,Naujoji sąjunga (socialliberalai),249,8,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.1033,Lietuvos liberalų sąjunga,85,2,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0974,Tėvynės sąjunga  (Lietuvos konservatoriai),70,12,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0392,Lietuvos krikščionių demokratų partija,25,8,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0297,Lietuvos valstiečių partija,24,1,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0273,Krikščionių demokratų sąjunga,21,2,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0202,Nuosaikiųjų konservatorių sąjunga,14,3,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0154,Lietuvos centro sąjunga,11,2,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0059,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",5,-,Durpyno (Nr. 34)
Kelmės (Nr. 41),0.0048,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",2,2,Durpyno (Nr. 34)
