apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Kauno - Kėdainių (Nr. 65),0.1068,Lietuvos valstiečių partija,25,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0812,Lietuvos liberalų sąjunga,19,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0385,Lietuvos krikščionių demokratų partija,9,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0342,Tėvynės sąjunga  (Lietuvos konservatoriai),8,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0342,Krikščionių demokratų sąjunga,8,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0171,Lietuvių tautininkų sąjunga,4,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0171,Nuosaikiųjų konservatorių sąjunga,4,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0043,Lietuvos centro sąjunga,1,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0043,Lietuvos laisvės sąjunga,1,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0043,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0043,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),0.0043,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,-,Vainikų (Nr. 49)
Kauno - Kėdainių (Nr. 65),,Lietuvos lenkų rinkimų akcija,-,-,Vainikų (Nr. 49)
Šakių (Nr. 64),0.3383,A.Brazausko socialdemokratinė koalicija,319,42,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.2352,Naujoji sąjunga (socialliberalai),215,36,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.1368,Tėvynės sąjunga  (Lietuvos konservatoriai),136,10,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0722,Lietuvos krikščionių demokratų partija,55,22,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0553,Krikščionių demokratų sąjunga,49,10,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0534,Lietuvos liberalų sąjunga,50,7,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0469,Lietuvos valstiečių partija,48,2,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0253,Nuosaikiųjų konservatorių sąjunga,25,2,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0112,Lietuvos centro sąjunga,12,-,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0112,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",11,1,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0047,Lietuvių tautininkų sąjunga,5,-,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0047,"Lietuvos partija ""Socialdemokratija 2000""",5,-,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0037,Lietuvos laisvės sąjunga,3,1,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),0.0009,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,1,Kudirkos Naumiesčio (Nr. 38)
Šakių (Nr. 64),,Lietuvos lenkų rinkimų akcija,-,-,Kudirkos Naumiesčio (Nr. 38)
Suvalkijos (Nr. 63),0.356,Naujoji sąjunga (socialliberalai),63,5,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.288,A.Brazausko socialdemokratinė koalicija,55,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0995,Krikščionių demokratų sąjunga,19,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.089,Lietuvos valstiečių partija,17,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0733,Lietuvos liberalų sąjunga,14,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0209,Lietuvos krikščionių demokratų partija,4,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0209,Tėvynės sąjunga  (Lietuvos konservatoriai),4,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0209,"Lietuvos partija ""Socialdemokratija 2000""",4,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0157,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",3,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0105,Nuosaikiųjų konservatorių sąjunga,2,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),0.0052,Lietuvių tautininkų sąjunga,-,1,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),,Lietuvos centro sąjunga,-,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),,Lietuvos laisvės sąjunga,-,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),,Lietuvos lenkų rinkimų akcija,-,-,Gavaltuvos (Nr. 41)
Suvalkijos (Nr. 63),,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",-,-,Gavaltuvos (Nr. 41)
Jurbarko (Nr. 62),0.2792,A.Brazausko socialdemokratinė koalicija,386,28,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.2428,Lietuvos liberalų sąjunga,349,11,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.2414,Naujoji sąjunga (socialliberalai),338,20,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0748,Tėvynės sąjunga  (Lietuvos konservatoriai),101,10,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0459,Krikščionių demokratų sąjunga,63,5,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0317,Lietuvos krikščionių demokratų partija,45,2,Naujamiesčio (Nr. 31)
