dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
453,1102,Dzūkijos (Nr.69) rinkimų apygarda,33,Butrimonių
133,281,Dzūkijos (Nr.69) rinkimų apygarda,4,Vanagėlių
260,566,Dzūkijos (Nr.69) rinkimų apygarda,15,Eičiūnų
266,497,Dzūkijos (Nr.69) rinkimų apygarda,16,Pivašiūnų
126,212,Dzūkijos (Nr.69) rinkimų apygarda,4,Mikalavo
109,231,Dzūkijos (Nr.69) rinkimų apygarda,1,Junčionių
150,394,Dzūkijos (Nr.69) rinkimų apygarda,3,Jurgelionių
100,194,Dzūkijos (Nr.69) rinkimų apygarda,8,Kedonių
980,1891,Dzūkijos (Nr.69) rinkimų apygarda,83,Daugų
61,97,Dzūkijos (Nr.69) rinkimų apygarda,3,Rodžios
276,517,Dzūkijos (Nr.69) rinkimų apygarda,22,Vaikantonių
127,415,Dzūkijos (Nr.69) rinkimų apygarda,9,Rimėnų
61,116,Dzūkijos (Nr.69) rinkimų apygarda,4,Meškučių
86,204,Dzūkijos (Nr.69) rinkimų apygarda,9,Pocelonių
303,808,Dzūkijos (Nr.69) rinkimų apygarda,21,Alytaus
378,891,Dzūkijos (Nr.69) rinkimų apygarda,14,Venciūnų
408,723,Dzūkijos (Nr.69) rinkimų apygarda,12,Alovės
143,268,Dzūkijos (Nr.69) rinkimų apygarda,6,Ilgų
233,460,Dzūkijos (Nr.69) rinkimų apygarda,7,Makniūnų
224,376,Dzūkijos (Nr.69) rinkimų apygarda,15,Ryliškių
442,1095,Dzūkijos (Nr.69) rinkimų apygarda,18,Nemunaičio
1412,2684,Vilkaviškio (Nr.68) rinkimų apygarda,64,Vilkaviškiorytų
1248,2536,Vilkaviškio (Nr.68) rinkimų apygarda,83,Vilkaviškiopietų
1089,2112,Vilkaviškio (Nr.68) rinkimų apygarda,69,Vilkaviškiovakarų
1604,3181,Vilkaviškio (Nr.68) rinkimų apygarda,68,Vilkaviškiošiaurės
1067,2551,Vilkaviškio (Nr.68) rinkimų apygarda,61,Kybartųrytų
1092,2557,Vilkaviškio (Nr.68) rinkimų apygarda,66,Kybartųvakarų
504,1059,Vilkaviškio (Nr.68) rinkimų apygarda,54,Virbalio
64,158,Vilkaviškio (Nr.68) rinkimų apygarda,3,Rimavičių
216,550,Vilkaviškio (Nr.68) rinkimų apygarda,21,Bartninkų
226,565,Vilkaviškio (Nr.68) rinkimų apygarda,18,Lakštučių
155,395,Vilkaviškio (Nr.68) rinkimų apygarda,8,Pašeimenių
101,311,Vilkaviškio (Nr.68) rinkimų apygarda,12,Piliakalnių
333,694,Vilkaviškio (Nr.68) rinkimų apygarda,18,Gižų
183,420,Vilkaviškio (Nr.68) rinkimų apygarda,5,Bačkiškių
219,662,Vilkaviškio (Nr.68) rinkimų apygarda,9,Karklinių
165,392,Vilkaviškio (Nr.68) rinkimų apygarda,9,Keturvalakių
272,654,Vilkaviškio (Nr.68) rinkimų apygarda,18,Gudkaimio
143,339,Vilkaviškio (Nr.68) rinkimų apygarda,5,Lauckaimio
322,680,Vilkaviškio (Nr.68) rinkimų apygarda,12,Matlaukio
182,335,Vilkaviškio (Nr.68) rinkimų apygarda,4,Šiaudiniškių
95,157,Vilkaviškio (Nr.68) rinkimų apygarda,2,Vilkupių
290,675,Vilkaviškio (Nr.68) rinkimų apygarda,18,Virbaliokaimiškoji
296,667,Vilkaviškio (Nr.68) rinkimų apygarda,18,Klausučių
175,505,Vilkaviškio (Nr.68) rinkimų apygarda,10,Karalkrėslio
344,835,Vilkaviškio (Nr.68) rinkimų apygarda,28,Pajevonio
177,423,Vilkaviškio (Nr.68) rinkimų apygarda,10,Alksnėnų
113,311,Vilkaviškio (Nr.68) rinkimų apygarda,8,Opšrūtų
263,662,Vilkaviškio (Nr.68) rinkimų apygarda,14,Paežerių
1013,2377,Vilkaviškio (Nr.68) rinkimų apygarda,66,Pilviškių
219,463,Vilkaviškio (Nr.68) rinkimų apygarda,14,Ramoniškių
585,1285,Vilkaviškio (Nr.68) rinkimų apygarda,10,Alvito
465,1046,Vilkaviškio (Nr.68) rinkimų apygarda,36,Karalių
147,394,Vilkaviškio (Nr.68) rinkimų apygarda,7,Klampučių
166,310,Vilkaviškio (Nr.68) rinkimų apygarda,12,Serdokų
286,632,Vilkaviškio (Nr.68) rinkimų apygarda,10,Uosių
337,848,Vilkaviškio (Nr.68) rinkimų apygarda,18,Gražiškių
148,401,Vilkaviškio (Nr.68) rinkimų apygarda,3,Kaupiškių
326,672,Vilkaviškio (Nr.68) rinkimų apygarda,17,Vištyčio
83,199,Vilkaviškio (Nr.68) rinkimų apygarda,3,Vartų
242,587,Vilkaviškio (Nr.68) rinkimų apygarda,10,Pūstapėdžių
286,635,Vilkaviškio (Nr.68) rinkimų apygarda,16,Stirniškių
1555,2633,Prienų (Nr.67) rinkimų apygarda,117,Birštonom
1551,2818,Prienų (Nr.67) rinkimų apygarda,92,DariausirGirėno
615,1181,Prienų (Nr.67) rinkimų apygarda,31,Birštonovienkiemio
1141,2093,Prienų (Nr.67) rinkimų apygarda,73,JBasanavičiaus
242,555,Prienų (Nr.67) rinkimų apygarda,19,Nemajūnų
728,1372,Prienų (Nr.67) rinkimų apygarda,46,Kęstučio
1432,2732,Prienų (Nr.67) rinkimų apygarda,92,Statybininkų
180,388,Prienų (Nr.67) rinkimų apygarda,9,Žemaitkiemio
279,613,Prienų (Nr.67) rinkimų apygarda,17,Šiauliškių
438,810,Prienų (Nr.67) rinkimų apygarda,34,Išlaužo
211,422,Prienų (Nr.67) rinkimų apygarda,13,NaujosiosŪtos
214,497,Prienų (Nr.67) rinkimų apygarda,16,Jiestrakio
247,475,Prienų (Nr.67) rinkimų apygarda,9,Klebiškio
225,602,Prienų (Nr.67) rinkimų apygarda,7,Šilavoto
472,1094,Prienų (Nr.67) rinkimų apygarda,37,Skriaudžių
252,552,Prienų (Nr.67) rinkimų apygarda,15,Juodbūdžio
814,1548,Prienų (Nr.67) rinkimų apygarda,57,Veiverių
518,919,Prienų (Nr.67) rinkimų apygarda,59,Balbieriškiomiestelio
660,1125,Prienų (Nr.67) rinkimų apygarda,47,Jieznomiesto
409,858,Prienų (Nr.67) rinkimų apygarda,19,Jieznokaimiškoji
354,717,Prienų (Nr.67) rinkimų apygarda,13,Kašonių
123,260,Prienų (Nr.67) rinkimų apygarda,7,Vėžionių
268,659,Prienų (Nr.67) rinkimų apygarda,15,Ašmintos
368,837,Prienų (Nr.67) rinkimų apygarda,23,Strielčių
287,775,Prienų (Nr.67) rinkimų apygarda,17,Balbieriškiokaimiškoji
264,626,Prienų (Nr.67) rinkimų apygarda,23,Paprūdžių
129,322,Prienų (Nr.67) rinkimų apygarda,13,Žiūronių
519,916,Prienų (Nr.67) rinkimų apygarda,31,Pakuonio
121,245,Prienų (Nr.67) rinkimų apygarda,9,Purvininkų
354,748,Prienų (Nr.67) rinkimų apygarda,15,Vyšniūnų
197,390,Prienų (Nr.67) rinkimų apygarda,13,Užuguosčio
233,578,Prienų (Nr.67) rinkimų apygarda,7,Pieštuvėnų
379,871,Prienų (Nr.67) rinkimų apygarda,26,Stakliškių
653,1305,Kauno kaimiškoji (Nr.66) rinkimų apygarda,50,Mastaičių
287,696,Kauno kaimiškoji (Nr.66) rinkimų apygarda,26,Pažėrų
316,748,Kauno kaimiškoji (Nr.66) rinkimų apygarda,26,Juragių
552,1086,Kauno kaimiškoji (Nr.66) rinkimų apygarda,49,Ilgakiemio
951,1855,Kauno kaimiškoji (Nr.66) rinkimų apygarda,48,Teleičių
1176,2826,Kauno kaimiškoji (Nr.66) rinkimų apygarda,103,Karmėlavos
1188,2226,Kauno kaimiškoji (Nr.66) rinkimų apygarda,90,Ramučių
1197,2665,Kauno kaimiškoji (Nr.66) rinkimų apygarda,105,Neveronių
532,1021,Kauno kaimiškoji (Nr.66) rinkimų apygarda,34,Universiteto
1029,1546,Kauno kaimiškoji (Nr.66) rinkimų apygarda,77,Akademijos
1579,2932,Kauno kaimiškoji (Nr.66) rinkimų apygarda,96,Ringaudų
331,843,Kauno kaimiškoji (Nr.66) rinkimų apygarda,21,Nemuno
747,1855,Kauno kaimiškoji (Nr.66) rinkimų apygarda,67,Šlienavos
888,1872,Kauno kaimiškoji (Nr.66) rinkimų apygarda,56,Girionių
642,1513,Kauno kaimiškoji (Nr.66) rinkimų apygarda,37,Taurakiemio
733,1368,Kauno kaimiškoji (Nr.66) rinkimų apygarda,80,Zapyškio
300,701,Kauno kaimiškoji (Nr.66) rinkimų apygarda,32,Altoniškių
819,1684,Kauno kaimiškoji (Nr.66) rinkimų apygarda,89,Ežerėlio
1349,2634,Kauno kaimiškoji (Nr.66) rinkimų apygarda,103,Garliavos
1497,2926,Kauno kaimiškoji (Nr.66) rinkimų apygarda,131,Liepų
