apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Centro,,Nevedęs,,,Vytautas Pijus Juraška,,Aukštasis,,,,,,Anglų;Rusų,,
Centro,,Nevedęs,,,Vytautas Juodagalvis,,,,,,,,Anglų;Rusų;Lenkų,,
Centro,,Vedęs,,,Tomas Jazbutis,,Aukštasis,,,,,,Anglų;Rusų,,
Centro,,Vedęs,,,Antanas Danielius,,Aukštasis,,,,,,Rusų,,
Centro,,Vedęs,,,Arvydas Barvainis,,,,,,,,Rusų;Lenkų,,
Centro,,Išsiskyręs,,,Vytautas Arbačiauskas,,,,,,,,Anglų;Rusų,,
Žaliakalnio,,Išsiskyrusi,,,Joana Danguolė Sadeikienė,,,,,,,,Latvių;Rusų;Anglų,,
Žaliakalnio,,Vedęs,,,Klemensas Rimšelis,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Žaliakalnio,,Vedęs,,,Vytautas Ratkelis,,,,,,,,Rusų;Lenkų,,
Žaliakalnio,,Vedęs,,,Algirdas Raslanas,,,,,,,,Rusų;Lenkų;Anglų;Prancūzų,,
Žaliakalnio,,Vedęs,,,Algirdas Vaclovas Patackas,,,,,,,,Anglų;Lenkų;Rusų,,
Žaliakalnio,,Ištekėjusi,,,Filomena Paškonienė,,Aukštasis,,,,,,Anglų,,
Žaliakalnio,,Ištekėjusi,,,Violeta Paškauskienė,,,,,,,,Vokiečių;Rusų,,
Žaliakalnio,,,,,Vytautas Nezgada,,,,,,,,Rusų;Vokiečių,,
Žaliakalnio,,,,,Regina Kolaitienė,,,,,,,,Vokiečių;Rusų;Lenkų;Lotynų,,
Žaliakalnio,,Vedęs,,,Juozas Kameneckas,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Žaliakalnio,,Vedęs,,,Gediminas Jankus,,Nebaigtas aukštasis,,,,,,,,
Žaliakalnio,,Vedęs,,,Vytautas Gylys,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Žaliakalnio,,Vedęs,,,Alekss Dajnovski,,,,,,,,Rusų;Ukrainiečių,,
Žaliakalnio,,Vedęs,,,Marijus Čižas,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Žaliakalnio,,Vedęs,,,Virgilijus Vladislovas Bulovas,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Kalniečių,,Vedęs,,,Gediminas Pažėra,,,,,,,,Rusų;Vokiečių,,
Kalniečių,,Vedęs,,,Kazimieras Leopoldas Pauliukas,,,,,,,,Rusų;Vokiečių,,
Kalniečių,,Išsiskyrusi,,,Audronė Pacevičienė,,Aukštasis,,,,,,Rusų,,
Kalniečių,,Vedęs,,,Sigitas Juozas Marčiukaitis,,,,,,,,Rusų;Vokiečių,,
Kalniečių,,Vedęs,,,Bronislovas Kučinskas,,Aukštasis,,,,,,Anglų;Rusų,,
Kalniečių,,Vedęs,,,Povilas Katilius,,,,,,,,Rusų;Anglų,,
Kalniečių,,Vedęs,,,Leonas Kačinskas,,Aukštasis,,,,,,Anglų;Rusų,,
Kalniečių,,Ištekėjusi,,,Monika Gervickienė,,,,,,,,Rusų;Anglų,,
Kalniečių,,,,,Stanislovas Buškevičius,,,,,,,,,,
Kalniečių,,Vedęs,,,Egidijus Bartusevičius,,,,,,,,Anglų;Rusų,,
Dainavos,,Vedęs,,,Arminas Jonas Vaišvila,,Aukštasis,,,,,,Vokiečių;Rusų,,
Dainavos,,Vedęs,,,Algimantas Povilas Tauras,,,,,,,,Rusų,,
Dainavos,,Vedęs,,,Audrius Skimborauskas,,,,,,,,,,
Dainavos,,,,,Algimantas Jonas Sakalas,,,,,,,,,,
Dainavos,,Nenurodė,,,Valdas Rupšys,,,,,,,,Anglų;Prancūzų;Rusų;Latvių;Lenkų,,
Dainavos,,Vedęs,,,Arūnas Mykolas Nesavas,,Aukštasis,,,,,,,,
Dainavos,,Ištekėjusi,,,Antanina Medviedevienė,,,,,,,,Anglų;Rusų,,
Dainavos,,Vedęs,,,Vasilijus Kozlovskis,,,,,,,,,,
Dainavos,,Vedęs,,,Romas Jonas Kalesinskas,,Aukštasis,,,,,,Vokiečių;Rusų;Lenkų,,
