nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.0253,Biržų Kupiškio (Nr. 48) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",14,483
0.0147,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos socialistų partija,24,265
0.0133,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,29,231
0.0098,Biržų Kupiškio (Nr. 48) apygarda,Lietuvių tautininkų sąjunga,18,175
0.0093,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos laisvės lyga,8,174
0.0069,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos laisvės sąjunga,7,128
0.0064,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos gyvenimo logikos partija,8,117
0.0053,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos socialinio teisingumo sąjunga,7,96
0.0052,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos ūkio partija,10,92
0.0045,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos liberalų sąjunga,5,84
0.0042,Biržų Kupiškio (Nr. 48) apygarda,Respublikonų partija,6,76
0.0022,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos liaudies partija,1,43
0.0013,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos rusų sąjunga,3,23
0.0007,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos lenkų rinkimų akcija,0,14
0.0004,Biržų Kupiškio (Nr. 48) apygarda,Lietuvos piliečių aljansas,0,8
0.2372,Pasvalio Panevėžio (Nr. 47) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),347,3972
0.2251,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos krikščionių demokratų partija,460,3638
0.2231,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos demokratinė darbo partija,324,3738
0.0578,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos socialdemokratų partija,60,992
0.0495,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos centro sąjunga,52,849
0.0363,Pasvalio Panevėžio (Nr. 47) apygarda,Krikščionių demokratų sąjunga,75,585
0.0324,Pasvalio Panevėžio (Nr. 47) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",12,578
0.0289,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos  moterų partija,40,487
0.0281,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos valstiečių partija,35,476
0.018,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos ūkio partija,25,303
0.0108,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,26,171
0.0104,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos socialinio teisingumo sąjunga,15,174
0.0087,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos laisvės lyga,11,147
0.0076,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos socialistų partija,1,138
0.0062,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos laisvės sąjunga,6,106
0.0057,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvių tautininkų sąjunga,10,93
0.0044,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos liberalų sąjunga,5,76
0.0025,Pasvalio Panevėžio (Nr. 47) apygarda,Respublikonų partija,5,40
0.0019,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos gyvenimo logikos partija,2,32
0.0018,Pasvalio Panevėžio (Nr. 47) apygarda,Tautos pažangos partija,3,30
0.0014,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos liaudies partija,2,23
0.0013,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos rusų sąjunga,1,22
0.0005,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos piliečių aljansas,0,10
0.0005,Pasvalio Panevėžio (Nr. 47) apygarda,Lietuvos lenkų rinkimų akcija,1,8
0.1838,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos demokratinė darbo partija,200,3302
0.1684,Pakruojo Joniškio (Nr. 46) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),225,2983
0.1512,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos socialdemokratų partija,144,2737
0.1353,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos krikščionių demokratų partija,235,2343
0.0832,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos valstiečių partija,63,1521
0.0566,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos  moterų partija,63,1015
0.0415,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos centro sąjunga,33,757
0.0366,Pakruojo Joniškio (Nr. 46) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",13,684
0.0298,Pakruojo Joniškio (Nr. 46) apygarda,Krikščionių demokratų sąjunga,36,532
0.0262,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvių tautininkų sąjunga,28,471
0.0168,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,36,284
0.0161,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos socialistų partija,18,289
0.0132,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos ūkio partija,14,237
0.0086,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos laisvės sąjunga,9,154
0.0085,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos laisvės lyga,10,151
0.0081,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos socialinio teisingumo sąjunga,9,145
0.0047,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos liberalų sąjunga,5,85
0.0028,Pakruojo Joniškio (Nr. 46) apygarda,Tautos pažangos partija,5,49
0.0025,Pakruojo Joniškio (Nr. 46) apygarda,Respublikonų partija,9,39
0.0019,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos gyvenimo logikos partija,2,34
0.0016,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos liaudies partija,2,28
0.0014,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos rusų sąjunga,2,24
0.0006,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos lenkų rinkimų akcija,0,12
0.0006,Pakruojo Joniškio (Nr. 46) apygarda,Lietuvos piliečių aljansas,1,11
0.3013,Šiaulių kaimiškoji (Nr. 45) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),411,5088
0.1221,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos demokratinė darbo partija,108,2120
0.1113,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos krikščionių demokratų partija,176,1855
0.0824,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos socialdemokratų partija,72,1432
0.073,Šiaulių kaimiškoji (Nr. 45) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",20,1312
0.0717,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos centro sąjunga,71,1238
0.0424,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos valstiečių partija,40,734
0.0395,Šiaulių kaimiškoji (Nr. 45) apygarda,Krikščionių demokratų sąjunga,73,647
0.0391,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos  moterų partija,57,656
0.0178,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos socialinio teisingumo sąjunga,40,285
0.0173,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,16,299
0.0166,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvių tautininkų sąjunga,15,288
0.0108,Šiaulių kaimiškoji (Nr. 45) apygarda,Tautos pažangos partija,13,184
0.0102,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos ūkio partija,17,169
0.0093,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos laisvės lyga,5,164
0.0083,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos laisvės sąjunga,3,149
0.0075,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos socialistų partija,21,115
0.0073,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos liberalų sąjunga,4,129
0.003,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos gyvenimo logikos partija,2,52
0.0028,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos rusų sąjunga,3,49
0.0026,Šiaulių kaimiškoji (Nr. 45) apygarda,Respublikonų partija,0,48
0.0022,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos liaudies partija,0,40
0.0009,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos piliečių aljansas,1,16
0.0006,Šiaulių kaimiškoji (Nr. 45) apygarda,Lietuvos lenkų rinkimų akcija,1,10
0.2266,Radviliškio (Nr. 44) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),252,3954
0.1675,Radviliškio (Nr. 44) apygarda,Lietuvos demokratinė darbo partija,194,2915
0.1048,Radviliškio (Nr. 44) apygarda,Lietuvos socialdemokratų partija,118,1828
0.099,Radviliškio (Nr. 44) apygarda,Lietuvos krikščionių demokratų partija,169,1669
0.0766,Radviliškio (Nr. 44) apygarda,Lietuvos centro sąjunga,89,1333
0.0514,Radviliškio (Nr. 44) apygarda,Lietuvos valstiečių partija,88,867
0.0512,Radviliškio (Nr. 44) apygarda,Lietuvos  moterų partija,76,875
0.0504,Radviliškio (Nr. 44) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",40,896
0.0403,Radviliškio (Nr. 44) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,61,688
0.0362,Radviliškio (Nr. 44) apygarda,Krikščionių demokratų sąjunga,76,596
0.0162,Radviliškio (Nr. 44) apygarda,Lietuvos liberalų sąjunga,17,283
0.0151,Radviliškio (Nr. 44) apygarda,Lietuvos socialistų partija,19,261
0.0144,Radviliškio (Nr. 44) apygarda,Lietuvių tautininkų sąjunga,13,255
0.0098,Radviliškio (Nr. 44) apygarda,Lietuvos laisvės sąjunga,21,160
0.0096,Radviliškio (Nr. 44) apygarda,Lietuvos socialinio teisingumo sąjunga,12,167
0.0091,Radviliškio (Nr. 44) apygarda,Lietuvos laisvės lyga,11,157
0.0046,Radviliškio (Nr. 44) apygarda,Lietuvos ūkio partija,6,80
0.0039,Radviliškio (Nr. 44) apygarda,Lietuvos rusų sąjunga,3,69
0.0035,Radviliškio (Nr. 44) apygarda,Respublikonų partija,2,63
0.0032,Radviliškio (Nr. 44) apygarda,Lietuvos piliečių aljansas,7,53
0.002,Radviliškio (Nr. 44) apygarda,Lietuvos liaudies partija,2,35
0.0019,Radviliškio (Nr. 44) apygarda,Lietuvos gyvenimo logikos partija,4,32
0.0017,Radviliškio (Nr. 44) apygarda,Tautos pažangos partija,6,25
0.0009,Radviliškio (Nr. 44) apygarda,Lietuvos lenkų rinkimų akcija,1,15
0.2211,Kėdainių (Nr. 43) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),177,3853
0.1978,Kėdainių (Nr. 43) apygarda,Lietuvos ūkio partija,51,3555
0.1653,Kėdainių (Nr. 43) apygarda,Lietuvos demokratinė darbo partija,115,2898
0.0845,Kėdainių (Nr. 43) apygarda,Lietuvos centro sąjunga,32,1509
0.0672,Kėdainių (Nr. 43) apygarda,Lietuvos krikščionių demokratų partija,78,1147
0.0497,Kėdainių (Nr. 43) apygarda,Lietuvos socialdemokratų partija,18,888
0.0426,Kėdainių (Nr. 43) apygarda,Lietuvos  moterų partija,28,749
0.0282,Kėdainių (Nr. 43) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",4,510
0.0264,Kėdainių (Nr. 43) apygarda,Krikščionių demokratų sąjunga,30,452
0.0207,Kėdainių (Nr. 43) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,22,355
0.0205,Kėdainių (Nr. 43) apygarda,Lietuvos valstiečių partija,22,351
0.0137,Kėdainių (Nr. 43) apygarda,Lietuvos liberalų sąjunga,2,247
0.013,Kėdainių (Nr. 43) apygarda,Lietuvių tautininkų sąjunga,9,228
0.011,Kėdainių (Nr. 43) apygarda,Lietuvos socialistų partija,5,195
0.0095,Kėdainių (Nr. 43) apygarda,Lietuvos laisvės sąjunga,7,167
0.0068,Kėdainių (Nr. 43) apygarda,Lietuvos laisvės lyga,3,121
0.0052,Kėdainių (Nr. 43) apygarda,Lietuvos socialinio teisingumo sąjunga,7,87
0.0032,Kėdainių (Nr. 43) apygarda,Lietuvos rusų sąjunga,3,56
0.003,Kėdainių (Nr. 43) apygarda,Lietuvos liaudies partija,3,52
0.0025,Kėdainių (Nr. 43) apygarda,Tautos pažangos partija,5,40
0.0023,Kėdainių (Nr. 43) apygarda,Lietuvos piliečių aljansas,1,41
0.0022,Kėdainių (Nr. 43) apygarda,Respublikonų partija,2,39
0.002,Kėdainių (Nr. 43) apygarda,Lietuvos gyvenimo logikos partija,1,35
0.0015,Kėdainių (Nr. 43) apygarda,Lietuvos lenkų rinkimų akcija,1,27
0.3011,Raseinių (Nr. 42) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),257,4825
0.159,Raseinių (Nr. 42) apygarda,Lietuvos krikščionių demokratų partija,189,2495
0.1413,Raseinių (Nr. 42) apygarda,Lietuvos demokratinė darbo partija,114,2271
0.0813,Raseinių (Nr. 42) apygarda,Lietuvos centro sąjunga,72,1300
0.0733,Raseinių (Nr. 42) apygarda,Lietuvos socialdemokratų partija,40,1197
0.0488,Raseinių (Nr. 42) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",21,802
0.0421,Raseinių (Nr. 42) apygarda,Krikščionių demokratų sąjunga,81,630
0.0299,Raseinių (Nr. 42) apygarda,Lietuvos  moterų partija,30,474
0.0227,Raseinių (Nr. 42) apygarda,Lietuvių tautininkų sąjunga,27,356
0.0215,Raseinių (Nr. 42) apygarda,Lietuvos valstiečių partija,17,346
0.018,Raseinių (Nr. 42) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,28,275
0.0108,Raseinių (Nr. 42) apygarda,Lietuvos laisvės sąjunga,11,171
0.0092,Raseinių (Nr. 42) apygarda,Respublikonų partija,13,143
0.0085,Raseinių (Nr. 42) apygarda,Lietuvos socialinio teisingumo sąjunga,9,134
0.0076,Raseinių (Nr. 42) apygarda,Lietuvos laisvės lyga,14,115
0.007,Raseinių (Nr. 42) apygarda,Lietuvos socialistų partija,4,115
0.0058,Raseinių (Nr. 42) apygarda,Lietuvos ūkio partija,8,90
0.0049,Raseinių (Nr. 42) apygarda,Lietuvos liberalų sąjunga,2,81
0.0021,Raseinių (Nr. 42) apygarda,Lietuvos gyvenimo logikos partija,1,34
0.0018,Raseinių (Nr. 42) apygarda,Tautos pažangos partija,3,28
0.0015,Raseinių (Nr. 42) apygarda,Lietuvos liaudies partija,0,26
0.0008,Raseinių (Nr. 42) apygarda,Lietuvos rusų sąjunga,0,14
0.0007,Raseinių (Nr. 42) apygarda,Lietuvos piliečių aljansas,1,10
0.0004,Raseinių (Nr. 42) apygarda,Lietuvos lenkų rinkimų akcija,0,6
0.2961,Kelmės (Nr. 41) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),283,4830
0.169,Kelmės (Nr. 41) apygarda,Lietuvos demokratinė darbo partija,151,2767
0.1575,Kelmės (Nr. 41) apygarda,Lietuvos krikščionių demokratų partija,230,2489
0.0618,Kelmės (Nr. 41) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",24,1043
0.06,Kelmės (Nr. 41) apygarda,Lietuvos socialdemokratų partija,48,988
0.0461,Kelmės (Nr. 41) apygarda,Lietuvos centro sąjunga,32,764
0.0353,Kelmės (Nr. 41) apygarda,Krikščionių demokratų sąjunga,52,557
0.0338,Kelmės (Nr. 41) apygarda,Lietuvos  moterų partija,32,552
0.0319,Kelmės (Nr. 41) apygarda,Lietuvos valstiečių partija,21,529
0.0233,Kelmės (Nr. 41) apygarda,Lietuvių tautininkų sąjunga,17,386
0.0127,Kelmės (Nr. 41) apygarda,Lietuvos laisvės lyga,8,211
0.0111,Kelmės (Nr. 41) apygarda,Lietuvos ūkio partija,12,180
0.0107,Kelmės (Nr. 41) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,24,161
0.0098,Kelmės (Nr. 41) apygarda,Lietuvos gyvenimo logikos partija,9,161
0.0095,Kelmės (Nr. 41) apygarda,Lietuvos socialinio teisingumo sąjunga,9,155
0.0083,Kelmės (Nr. 41) apygarda,Lietuvos laisvės sąjunga,8,135
0.0069,Kelmės (Nr. 41) apygarda,Respublikonų partija,2,117
0.0052,Kelmės (Nr. 41) apygarda,Lietuvos socialistų partija,5,85
0.003,Kelmės (Nr. 41) apygarda,Lietuvos liberalų sąjunga,3,49
0.0029,Kelmės (Nr. 41) apygarda,Tautos pažangos partija,1,49
0.0023,Kelmės (Nr. 41) apygarda,Lietuvos rusų sąjunga,4,35
0.0018,Kelmės (Nr. 41) apygarda,Lietuvos liaudies partija,2,29
0.0008,Kelmės (Nr. 41) apygarda,Lietuvos piliečių aljansas,1,12
0.0002,Kelmės (Nr. 41) apygarda,Lietuvos lenkų rinkimų akcija,0,3
0.4646,Telšių (Nr. 40) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),315,8606
0.1103,Telšių (Nr. 40) apygarda,Lietuvos centro sąjunga,35,2084
0.0832,Telšių (Nr. 40) apygarda,Lietuvos demokratinė darbo partija,53,1544
0.0757,Telšių (Nr. 40) apygarda,Lietuvos socialdemokratų partija,29,1424
0.0651,Telšių (Nr. 40) apygarda,Lietuvos krikščionių demokratų partija,93,1157
0.0393,Telšių (Nr. 40) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",9,746
0.0337,Telšių (Nr. 40) apygarda,Lietuvos  moterų partija,14,633
0.0199,Telšių (Nr. 40) apygarda,Krikščionių demokratų sąjunga,22,360
0.0173,Telšių (Nr. 40) apygarda,Lietuvos socialinio teisingumo sąjunga,12,321
0.0166,Telšių (Nr. 40) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,14,304
0.0144,Telšių (Nr. 40) apygarda,Lietuvos valstiečių partija,7,270
0.0122,Telšių (Nr. 40) apygarda,Lietuvos ūkio partija,8,226
0.0091,Telšių (Nr. 40) apygarda,Lietuvos laisvės lyga,2,173
0.0085,Telšių (Nr. 40) apygarda,Lietuvių tautininkų sąjunga,14,150
0.0074,Telšių (Nr. 40) apygarda,Lietuvos laisvės sąjunga,5,137
0.0049,Telšių (Nr. 40) apygarda,Lietuvos liberalų sąjunga,4,91
0.0043,Telšių (Nr. 40) apygarda,Lietuvos socialistų partija,3,79
0.0039,Telšių (Nr. 40) apygarda,Lietuvos rusų sąjunga,1,73
0.0023,Telšių (Nr. 40) apygarda,Tautos pažangos partija,2,43
0.0018,Telšių (Nr. 40) apygarda,Respublikonų partija,0,35
0.0017,Telšių (Nr. 40) apygarda,Lietuvos liaudies partija,4,29
0.0017,Telšių (Nr. 40) apygarda,Lietuvos gyvenimo logikos partija,1,31
0.0015,Telšių (Nr. 40) apygarda,Lietuvos piliečių aljansas,2,27
0.0006,Telšių (Nr. 40) apygarda,Lietuvos lenkų rinkimų akcija,0,11
0.2498,Akmenės Joniškio (Nr. 39) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),240,3960
0.1419,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos demokratinė darbo partija,132,2254
0.1173,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos socialdemokratų partija,78,1895
0.1016,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos krikščionių demokratų partija,130,1579
0.0627,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos  moterų partija,46,1009
0.0483,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos centro sąjunga,29,783
0.0474,Akmenės Joniškio (Nr. 39) apygarda,Lietuvių tautininkų sąjunga,51,746
0.0464,Akmenės Joniškio (Nr. 39) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",15,766
0.0376,Akmenės Joniškio (Nr. 39) apygarda,Krikščionių demokratų sąjunga,55,578
0.0359,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos laisvės lyga,18,585
0.0191,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos valstiečių partija,10,312
0.0163,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos ūkio partija,25,249
0.0147,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos socialinio teisingumo sąjunga,20,227
0.0134,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,24,202
0.0116,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos laisvės sąjunga,8,187
0.0088,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos socialistų partija,8,140
0.0064,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos rusų sąjunga,1,107
0.0046,Akmenės Joniškio (Nr. 39) apygarda,Respublikonų partija,8,69
0.0037,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos gyvenimo logikos partija,1,61
0.0034,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos liberalų sąjunga,3,54
0.0032,Akmenės Joniškio (Nr. 39) apygarda,Tautos pažangos partija,2,51
0.003,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos liaudies partija,0,50
0.0021,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos piliečių aljansas,1,34
0.0008,Akmenės Joniškio (Nr. 39) apygarda,Lietuvos lenkų rinkimų akcija,0,13
0.2814,Mažeikių (Nr. 38) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),121,3729
0.1441,Mažeikių (Nr. 38) apygarda,Lietuvos centro sąjunga,40,1931
0.1062,Mažeikių (Nr. 38) apygarda,Lietuvos krikščionių demokratų partija,69,1384
0.1009,Mažeikių (Nr. 38) apygarda,Lietuvos socialdemokratų partija,35,1345
0.08,Mažeikių (Nr. 38) apygarda,Lietuvos demokratinė darbo partija,38,1056
0.0681,Mažeikių (Nr. 38) apygarda,Lietuvos  moterų partija,20,912
0.0479,Mažeikių (Nr. 38) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",15,641
0.0308,Mažeikių (Nr. 38) apygarda,Krikščionių demokratų sąjunga,15,407
0.0216,Mažeikių (Nr. 38) apygarda,Lietuvos ūkio partija,4,292
0.0157,Mažeikių (Nr. 38) apygarda,Lietuvos socialistų partija,10,205
0.0146,Mažeikių (Nr. 38) apygarda,Lietuvos laisvės sąjunga,3,197
0.0139,Mažeikių (Nr. 38) apygarda,Lietuvių tautininkų sąjunga,5,185
0.0124,Mažeikių (Nr. 38) apygarda,Lietuvos liberalų sąjunga,2,167
0.0116,Mažeikių (Nr. 38) apygarda,Lietuvos laisvės lyga,6,153
0.0109,Mažeikių (Nr. 38) apygarda,Lietuvos socialinio teisingumo sąjunga,6,143
0.0087,Mažeikių (Nr. 38) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,4,115
0.0073,Mažeikių (Nr. 38) apygarda,Lietuvos gyvenimo logikos partija,5,95
0.0063,Mažeikių (Nr. 38) apygarda,Lietuvos rusų sąjunga,0,86
0.0057,Mažeikių (Nr. 38) apygarda,Lietuvos valstiečių partija,2,76
0.0052,Mažeikių (Nr. 38) apygarda,Respublikonų partija,1,70
0.0027,Mažeikių (Nr. 38) apygarda,Lietuvos piliečių aljansas,0,37
0.0023,Mažeikių (Nr. 38) apygarda,Lietuvos liaudies partija,2,30
0.0013,Mažeikių (Nr. 38) apygarda,Tautos pažangos partija,0,18
0.0003,Mažeikių (Nr. 38) apygarda,Lietuvos lenkų rinkimų akcija,0,4
0.3292,Skuodo Mažeikių (Nr. 37) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),399,4969
0.1843,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos krikščionių demokratų partija,333,2672
0.1099,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos demokratinė darbo partija,101,1691
0.074,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos socialdemokratų partija,65,1142
0.0519,Skuodo Mažeikių (Nr. 37) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",15,831
0.0467,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos centro sąjunga,38,723
0.044,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos  moterų partija,58,659
0.0389,Skuodo Mažeikių (Nr. 37) apygarda,Krikščionių demokratų sąjunga,84,550
0.0185,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvių tautininkų sąjunga,25,277
0.0165,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos valstiečių partija,14,255
0.0134,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos laisvės sąjunga,8,211
0.0129,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos socialinio teisingumo sąjunga,22,189
0.0118,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,18,174
0.0098,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos laisvės lyga,11,149
0.0094,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos ūkio partija,7,147
0.0078,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos socialistų partija,10,117
0.0061,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos liberalų sąjunga,5,95
0.0048,Skuodo Mažeikių (Nr. 37) apygarda,Respublikonų partija,13,65
0.0033,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos gyvenimo logikos partija,4,49
0.0028,Skuodo Mažeikių (Nr. 37) apygarda,Tautos pažangos partija,0,46
0.0018,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos liaudies partija,2,27
0.001,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos rusų sąjunga,2,14
0.0006,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos lenkų rinkimų akcija,1,8
0.0006,Skuodo Mažeikių (Nr. 37) apygarda,Lietuvos piliečių aljansas,1,8
0.2539,Kretingos (Nr. 36) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),182,4185
0.2036,Kretingos (Nr. 36) apygarda,Lietuvos krikščionių demokratų partija,264,3237
0.1609,Kretingos (Nr. 36) apygarda,Lietuvos centro sąjunga,129,2638
0.0736,Kretingos (Nr. 36) apygarda,Lietuvos demokratinė darbo partija,53,1212
0.0531,Kretingos (Nr. 36) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,59,855
0.0462,Kretingos (Nr. 36) apygarda,Lietuvos  moterų partija,29,766
0.0457,Kretingos (Nr. 36) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",12,774
0.044,Kretingos (Nr. 36) apygarda,Lietuvos socialdemokratų partija,21,735
0.0302,Kretingos (Nr. 36) apygarda,Krikščionių demokratų sąjunga,55,465
0.0152,Kretingos (Nr. 36) apygarda,Lietuvos valstiečių partija,23,238
0.015,Kretingos (Nr. 36) apygarda,Lietuvos liberalų sąjunga,6,252
0.0102,Kretingos (Nr. 36) apygarda,Lietuvių tautininkų sąjunga,9,166
0.0098,Kretingos (Nr. 36) apygarda,Lietuvos ūkio partija,11,157
0.0089,Kretingos (Nr. 36) apygarda,Lietuvos socialinio teisingumo sąjunga,6,147
0.0074,Kretingos (Nr. 36) apygarda,Lietuvos laisvės lyga,9,119
0.0068,Kretingos (Nr. 36) apygarda,Lietuvos laisvės sąjunga,2,115
0.0057,Kretingos (Nr. 36) apygarda,Lietuvos socialistų partija,8,90
0.0025,Kretingos (Nr. 36) apygarda,Lietuvos gyvenimo logikos partija,1,42
