nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.1539,Vilkaviškio (Nr. 68) apygarda,Lietuvos socialdemokratų partija,137,2488
0.1407,Vilkaviškio (Nr. 68) apygarda,Lietuvos krikščionių demokratų partija,205,2194
0.1175,Vilkaviškio (Nr. 68) apygarda,Lietuvos demokratinė darbo partija,99,1905
0.0497,Vilkaviškio (Nr. 68) apygarda,Lietuvių tautininkų sąjunga,58,789
0.0484,Vilkaviškio (Nr. 68) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",17,808
0.0477,Vilkaviškio (Nr. 68) apygarda,Lietuvos centro sąjunga,37,776
0.0392,Vilkaviškio (Nr. 68) apygarda,Krikščionių demokratų sąjunga,62,607
0.0338,Vilkaviškio (Nr. 68) apygarda,Lietuvos  moterų partija,44,532
0.0159,Vilkaviškio (Nr. 68) apygarda,Lietuvos valstiečių partija,22,249
0.0154,Vilkaviškio (Nr. 68) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,22,240
0.0121,Vilkaviškio (Nr. 68) apygarda,Lietuvos laisvės lyga,13,193
0.0109,Vilkaviškio (Nr. 68) apygarda,Lietuvos laisvės sąjunga,20,166
0.0098,Vilkaviškio (Nr. 68) apygarda,Lietuvos socialistų partija,11,156
0.0097,Vilkaviškio (Nr. 68) apygarda,Lietuvos socialinio teisingumo sąjunga,9,157
0.0084,Vilkaviškio (Nr. 68) apygarda,Lietuvos liberalų sąjunga,5,139
0.0036,Vilkaviškio (Nr. 68) apygarda,Respublikonų partija,5,56
0.0027,Vilkaviškio (Nr. 68) apygarda,Lietuvos ūkio partija,9,37
0.0019,Vilkaviškio (Nr. 68) apygarda,Lietuvos piliečių aljansas,1,32
0.0019,Vilkaviškio (Nr. 68) apygarda,Lietuvos gyvenimo logikos partija,0,32
0.0016,Vilkaviškio (Nr. 68) apygarda,Lietuvos liaudies partija,3,24
0.0013,Vilkaviškio (Nr. 68) apygarda,Tautos pažangos partija,1,22
0.0013,Vilkaviškio (Nr. 68) apygarda,Lietuvos rusų sąjunga,1,21
0.0012,Vilkaviškio (Nr. 68) apygarda,Lietuvos lenkų rinkimų akcija,1,20
0.407,Prienų (Nr. 67) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),455,6414
0.1265,Prienų (Nr. 67) apygarda,Lietuvos krikščionių demokratų partija,227,1908
0.0886,Prienų (Nr. 67) apygarda,Lietuvos demokratinė darbo partija,147,1349
0.0659,Prienų (Nr. 67) apygarda,Lietuvos socialdemokratų partija,48,1064
0.0492,Prienų (Nr. 67) apygarda,Lietuvos centro sąjunga,28,803
0.0472,Prienų (Nr. 67) apygarda,Lietuvos  moterų partija,36,761
0.0456,Prienų (Nr. 67) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",14,756
0.0287,Prienų (Nr. 67) apygarda,Krikščionių demokratų sąjunga,64,421
0.0264,Prienų (Nr. 67) apygarda,Lietuvos liberalų sąjunga,7,439
0.0249,Prienų (Nr. 67) apygarda,Lietuvių tautininkų sąjunga,25,395
0.0203,Prienų (Nr. 67) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,59,283
0.013,Prienų (Nr. 67) apygarda,Lietuvos valstiečių partija,13,206
0.0111,Prienų (Nr. 67) apygarda,Lietuvos laisvės sąjunga,11,176
0.0107,Prienų (Nr. 67) apygarda,Lietuvos laisvės lyga,14,166
0.0074,Prienų (Nr. 67) apygarda,Respublikonų partija,17,108
0.0073,Prienų (Nr. 67) apygarda,Lietuvos socialinio teisingumo sąjunga,15,108
0.0062,Prienų (Nr. 67) apygarda,Lietuvos socialistų partija,6,98
0.0051,Prienų (Nr. 67) apygarda,Lietuvos ūkio partija,7,79
0.0035,Prienų (Nr. 67) apygarda,Lietuvos gyvenimo logikos partija,1,58
0.0018,Prienų (Nr. 67) apygarda,Lietuvos liaudies partija,2,29
0.0015,Prienų (Nr. 67) apygarda,Tautos pažangos partija,0,26
0.0011,Prienų (Nr. 67) apygarda,Lietuvos rusų sąjunga,1,18
0.0005,Prienų (Nr. 67) apygarda,Lietuvos piliečių aljansas,0,9
0.0003,Prienų (Nr. 67) apygarda,Lietuvos lenkų rinkimų akcija,1,4
0.5116,Kauno kaimiškoji (Nr. 66) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),536,10680
0.0774,Kauno kaimiškoji (Nr. 66) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",33,1664
0.0694,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos krikščionių demokratų partija,142,1379
0.0647,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos centro sąjunga,41,1377
0.0439,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos demokratinė darbo partija,33,929
0.0407,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos socialdemokratų partija,27,865
0.0319,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos laisvės sąjunga,8,691
0.027,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos  moterų partija,21,571
0.027,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvių tautininkų sąjunga,19,572
0.0226,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,27,469
0.0179,Kauno kaimiškoji (Nr. 66) apygarda,Krikščionių demokratų sąjunga,21,371
0.0157,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos ūkio partija,11,333
0.0145,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos liberalų sąjunga,10,308
0.0072,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos laisvės lyga,5,153
0.0057,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos valstiečių partija,2,124
0.0056,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos socialinio teisingumo sąjunga,6,117
0.0036,Kauno kaimiškoji (Nr. 66) apygarda,Respublikonų partija,7,73
0.0035,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos rusų sąjunga,0,76
0.0028,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos socialistų partija,2,60
0.0027,Kauno kaimiškoji (Nr. 66) apygarda,Tautos pažangos partija,1,59
0.0025,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos gyvenimo logikos partija,1,54
0.0008,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos liaudies partija,2,15
0.0008,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos piliečių aljansas,0,17
0.0005,Kauno kaimiškoji (Nr. 66) apygarda,Lietuvos lenkų rinkimų akcija,1,9
0.3494,Kauno Kėdainių (Nr. 65) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),313,5970
0.1022,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos demokratinė darbo partija,75,1762
0.0929,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos krikščionių demokratų partija,121,1549
0.0632,Kauno Kėdainių (Nr. 65) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",22,1115
0.0592,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos centro sąjunga,39,1025
0.0524,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos socialdemokratų partija,40,902
0.0458,Kauno Kėdainių (Nr. 65) apygarda,Lietuvių tautininkų sąjunga,55,769
0.0403,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos valstiečių partija,26,699
0.0381,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos  moterų partija,23,663
0.0318,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos ūkio partija,16,556
0.0276,Kauno Kėdainių (Nr. 65) apygarda,Krikščionių demokratų sąjunga,40,457
0.0251,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos laisvės sąjunga,13,438
0.0228,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,21,389
0.013,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos liberalų sąjunga,11,222
0.0074,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos laisvės lyga,6,127
0.0071,Kauno Kėdainių (Nr. 65) apygarda,Respublikonų partija,11,116
0.0068,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos socialinio teisingumo sąjunga,7,116
0.0052,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos socialistų partija,1,92
0.0032,Kauno Kėdainių (Nr. 65) apygarda,Tautos pažangos partija,3,54
0.0018,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos rusų sąjunga,1,32
0.0017,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos gyvenimo logikos partija,0,30
0.0014,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos liaudies partija,1,25
0.001,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos lenkų rinkimų akcija,1,17
0.0007,Kauno Kėdainių (Nr. 65) apygarda,Lietuvos piliečių aljansas,0,12
0.3779,Šakių (Nr. 64) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),535,6414
0.1588,Šakių (Nr. 64) apygarda,Lietuvos demokratinė darbo partija,161,2759
0.1201,Šakių (Nr. 64) apygarda,Lietuvos krikščionių demokratų partija,334,1875
0.0754,Šakių (Nr. 64) apygarda,Lietuvos socialdemokratų partija,71,1316
0.0498,Šakių (Nr. 64) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",18,898
0.0419,Šakių (Nr. 64) apygarda,Lietuvos centro sąjunga,52,719
0.0329,Šakių (Nr. 64) apygarda,Krikščionių demokratų sąjunga,93,512
0.0298,Šakių (Nr. 64) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,73,475
0.0283,Šakių (Nr. 64) apygarda,Lietuvos valstiečių partija,24,496
0.0182,Šakių (Nr. 64) apygarda,Lietuvos  moterų partija,19,315
0.011,Šakių (Nr. 64) apygarda,Lietuvių tautininkų sąjunga,23,180
0.0101,Šakių (Nr. 64) apygarda,Lietuvos laisvės lyga,20,166
0.0085,Šakių (Nr. 64) apygarda,Lietuvos laisvės sąjunga,7,149
0.0082,Šakių (Nr. 64) apygarda,Lietuvos socialinio teisingumo sąjunga,9,141
0.0078,Šakių (Nr. 64) apygarda,Lietuvos socialistų partija,12,131
0.005,Šakių (Nr. 64) apygarda,Lietuvos ūkio partija,6,86
0.0039,Šakių (Nr. 64) apygarda,Respublikonų partija,9,63
0.0033,Šakių (Nr. 64) apygarda,Lietuvos liberalų sąjunga,2,59
0.0032,Šakių (Nr. 64) apygarda,Tautos pažangos partija,5,53
0.0026,Šakių (Nr. 64) apygarda,Lietuvos gyvenimo logikos partija,3,44
0.0013,Šakių (Nr. 64) apygarda,Lietuvos liaudies partija,3,20
0.0012,Šakių (Nr. 64) apygarda,Lietuvos rusų sąjunga,4,18
0.0006,Šakių (Nr. 64) apygarda,Lietuvos lenkų rinkimų akcija,0,11
0.0003,Šakių (Nr. 64) apygarda,Lietuvos piliečių aljansas,0,5
0.2571,Suvalkijos (Nr. 63) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),219,3775
0.1648,Suvalkijos (Nr. 63) apygarda,Lietuvos krikščionių demokratų partija,162,2399
0.1157,Suvalkijos (Nr. 63) apygarda,Lietuvos demokratinė darbo partija,84,1713
0.1043,Suvalkijos (Nr. 63) apygarda,Lietuvos socialdemokratų partija,83,1538
0.0937,Suvalkijos (Nr. 63) apygarda,Krikščionių demokratų sąjunga,72,1384
0.0519,Suvalkijos (Nr. 63) apygarda,Lietuvos centro sąjunga,41,766
0.0416,Suvalkijos (Nr. 63) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",13,634
0.0357,Suvalkijos (Nr. 63) apygarda,Lietuvių tautininkų sąjunga,16,538
0.0356,Suvalkijos (Nr. 63) apygarda,Lietuvos  moterų partija,25,528
0.029,Suvalkijos (Nr. 63) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,45,406
0.0236,Suvalkijos (Nr. 63) apygarda,Lietuvos valstiečių partija,10,356
0.0086,Suvalkijos (Nr. 63) apygarda,Lietuvos laisvės lyga,8,125
0.0083,Suvalkijos (Nr. 63) apygarda,Lietuvos laisvės sąjunga,2,127
0.0076,Suvalkijos (Nr. 63) apygarda,Lietuvos socialinio teisingumo sąjunga,7,111
0.0054,Suvalkijos (Nr. 63) apygarda,Lietuvos socialistų partija,5,79
0.0041,Suvalkijos (Nr. 63) apygarda,Lietuvos liberalų sąjunga,0,64
0.0033,Suvalkijos (Nr. 63) apygarda,Lietuvos ūkio partija,4,48
0.0031,Suvalkijos (Nr. 63) apygarda,Respublikonų partija,4,44
0.0021,Suvalkijos (Nr. 63) apygarda,Lietuvos rusų sąjunga,1,32
0.0012,Suvalkijos (Nr. 63) apygarda,Tautos pažangos partija,0,18
0.0012,Suvalkijos (Nr. 63) apygarda,Lietuvos gyvenimo logikos partija,1,17
0.0009,Suvalkijos (Nr. 63) apygarda,Lietuvos liaudies partija,1,13
0.0009,Suvalkijos (Nr. 63) apygarda,Lietuvos piliečių aljansas,0,14
0.0003,Suvalkijos (Nr. 63) apygarda,Lietuvos lenkų rinkimų akcija,0,5
0.2924,Jurbarko (Nr. 62) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),364,4756
0.2113,Jurbarko (Nr. 62) apygarda,Lietuvos krikščionių demokratų partija,348,3352
0.1079,Jurbarko (Nr. 62) apygarda,Lietuvos demokratinė darbo partija,147,1742
0.0833,Jurbarko (Nr. 62) apygarda,Lietuvos socialdemokratų partija,72,1387
0.0509,Jurbarko (Nr. 62) apygarda,Lietuvos centro sąjunga,62,829
0.0479,Jurbarko (Nr. 62) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",27,812
0.0416,Jurbarko (Nr. 62) apygarda,Krikščionių demokratų sąjunga,70,658
0.0295,Jurbarko (Nr. 62) apygarda,Lietuvos liberalų sąjunga,33,483
0.025,Jurbarko (Nr. 62) apygarda,Lietuvos  moterų partija,42,396
0.0211,Jurbarko (Nr. 62) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,42,328
0.0204,Jurbarko (Nr. 62) apygarda,Lietuvių tautininkų sąjunga,34,323
0.0168,Jurbarko (Nr. 62) apygarda,Lietuvos valstiečių partija,16,278
0.0124,Jurbarko (Nr. 62) apygarda,Lietuvos socialinio teisingumo sąjunga,15,202
0.0093,Jurbarko (Nr. 62) apygarda,Lietuvos laisvės lyga,11,152
0.0083,Jurbarko (Nr. 62) apygarda,Lietuvos laisvės sąjunga,14,131
0.0059,Jurbarko (Nr. 62) apygarda,Lietuvos socialistų partija,8,95
0.0047,Jurbarko (Nr. 62) apygarda,Lietuvos ūkio partija,12,70
0.0041,Jurbarko (Nr. 62) apygarda,Respublikonų partija,9,63
