dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
964,1528,Kauno - Kėdainių (Nr.65) apygarda,75,Saulės
475,1025,Kauno - Kėdainių (Nr.65) apygarda,30,Muniškių
980,1628,Šakių (Nr.64) apygarda,49,Žiburio
1235,2104,Šakių (Nr.64) apygarda,50,Varpo
765,1372,Šakių (Nr.64) apygarda,29,Aušros
246,481,Šakių (Nr.64) apygarda,9,Barzdų
182,378,Šakių (Nr.64) apygarda,4,Baltrušių
191,431,Šakių (Nr.64) apygarda,9,Būblelių
274,504,Šakių (Nr.64) apygarda,10,Panovių
1091,2394,Šakių (Nr.64) apygarda,60,Gelgaudiškio
406,834,Šakių (Nr.64) apygarda,13,Plokščių
482,888,Šakių (Nr.64) apygarda,20,Griškabūdžio
162,324,Šakių (Nr.64) apygarda,6,Degutinės
243,539,Šakių (Nr.64) apygarda,10,Patašinės
272,480,Šakių (Nr.64) apygarda,7,Paluobių
804,1572,Šakių (Nr.64) apygarda,34,Kidulių
231,521,Šakių (Nr.64) apygarda,9,Voverių
375,828,Šakių (Nr.64) apygarda,27,Sudargo
439,969,Šakių (Nr.64) apygarda,22,Kriūkų
329,699,Šakių (Nr.64) apygarda,11,Gerdžiūnų
515,1017,Šakių (Nr.64) apygarda,31,Lekėčių
184,374,Šakių (Nr.64) apygarda,6,Mikytų
204,451,Šakių (Nr.64) apygarda,16,Daržininkų
765,1612,Šakių (Nr.64) apygarda,28,Lukšių
312,642,Šakių (Nr.64) apygarda,9,Liepalotų
450,1148,Šakių (Nr.64) apygarda,38,Sūdavos
344,557,Šakių (Nr.64) apygarda,11,Sintautų
262,539,Šakių (Nr.64) apygarda,12,Veršių
184,397,Šakių (Nr.64) apygarda,9,Keturnaujienos
235,530,Šakių (Nr.64) apygarda,15,Žvirgždaičių
334,637,Šakių (Nr.64) apygarda,18,Slavikų
229,541,Šakių (Nr.64) apygarda,14,Gotlybiškių
220,543,Šakių (Nr.64) apygarda,8,Išdagų
417,849,Šakių (Nr.64) apygarda,22,Giedručių
160,358,Šakių (Nr.64) apygarda,6,Ritinių
518,967,Šakių (Nr.64) apygarda,14,Girėnų
226,499,Šakių (Nr.64) apygarda,5,Briedžių
834,1527,Šakių (Nr.64) apygarda,52,KudirkosNaumiesčio
150,267,Šakių (Nr.64) apygarda,6,Slabadų
905,1795,Suvalkijos (Nr.63) apygarda,62,KalvarijosVakarinė
658,1249,Suvalkijos (Nr.63) apygarda,29,KazlųRūdos
1037,2062,Suvalkijos (Nr.63) apygarda,76,Pušų
872,1826,Suvalkijos (Nr.63) apygarda,58,KalvarijosRytinė
771,1521,Suvalkijos (Nr.63) apygarda,65,Mindaugo
518,1141,Suvalkijos (Nr.63) apygarda,23,Jungėnų
142,344,Suvalkijos (Nr.63) apygarda,11,Brukų
260,539,Suvalkijos (Nr.63) apygarda,31,Liepų
240,527,Suvalkijos (Nr.63) apygarda,17,Bagotosios
146,280,Suvalkijos (Nr.63) apygarda,0,Sūsninkų
142,324,Suvalkijos (Nr.63) apygarda,4,Mockų
269,642,Suvalkijos (Nr.63) apygarda,17,Antanavo
371,725,Suvalkijos (Nr.63) apygarda,9,Jusevičių
227,388,Suvalkijos (Nr.63) apygarda,17,VišakioRūdos
286,638,Suvalkijos (Nr.63) apygarda,23,Jūrės
291,530,Suvalkijos (Nr.63) apygarda,15,Sangrūdos
188,330,Suvalkijos (Nr.63) apygarda,7,Radiškės
198,383,Suvalkijos (Nr.63) apygarda,14,Jūrės
256,581,Suvalkijos (Nr.63) apygarda,11,Plutiškių
175,344,Suvalkijos (Nr.63) apygarda,8,Salaperaugio
415,908,Suvalkijos (Nr.63) apygarda,30,ĄžuolųBūdos
176,347,Suvalkijos (Nr.63) apygarda,9,Liubavo
128,304,Suvalkijos (Nr.63) apygarda,5,Brazavo
163,414,Suvalkijos (Nr.63) apygarda,10,Bebruliškės
147,325,Suvalkijos (Nr.63) apygarda,14,Jurgežerių
175,413,Suvalkijos (Nr.63) apygarda,12,Būdos
159,336,Suvalkijos (Nr.63) apygarda,19,Tarprubežių
308,586,Suvalkijos (Nr.63) apygarda,16,Jankų
149,324,Suvalkijos (Nr.63) apygarda,6,Akmenynų
553,1399,Suvalkijos (Nr.63) apygarda,37,Mokolųkaimo
178,351,Suvalkijos (Nr.63) apygarda,3,Kampinių
330,809,Suvalkijos (Nr.63) apygarda,22,Šunskų
204,345,Suvalkijos (Nr.63) apygarda,9,Aistiškių
399,911,Suvalkijos (Nr.63) apygarda,13,Sasnavos
323,707,Suvalkijos (Nr.63) apygarda,22,Puskelnių
175,463,Suvalkijos (Nr.63) apygarda,6,Smilgių
568,1263,Suvalkijos (Nr.63) apygarda,24,Baraginės
490,1150,Suvalkijos (Nr.63) apygarda,28,Patašinės
162,428,Suvalkijos (Nr.63) apygarda,10,Igliškėlių
449,1062,Suvalkijos (Nr.63) apygarda,26,Igliaukos
192,398,Suvalkijos (Nr.63) apygarda,9,Šventragio
263,612,Suvalkijos (Nr.63) apygarda,11,Gudelių
