kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Justinas KAROSAS,8031.87,,308228.0,,,,23475.23
Irena DEGUTIENĖ,15712.64,,7196.0,,,,35919.36
Sigitas DAUGIRDA,1219.84,,170167.0,,,,3669.56
Vidmantas DAMBRAUSKAS,2369.0,,25005.0,,,,6531.0
Vytautas DABRUKAS,6836.0,,269648.0,,,,12351.0
Alvydas BALEŽENTIS,11900.01,,18852.01,,,,25778.53
Giedrė PURVANECKIENĖ,1350.54,,221000.0,,,,24590.28
Nijolė OŽELYTĖ,16259.24,,121246.0,,,,84271.76
Vytautas KVIETKAUSKAS,27186.98,,184189.0,,,,96960.64
Giedrė KVIESKIENĖ,5531.21,,140000.0,,,,11009.74
Vitas KARČIAUSKAS,8504.82,,160088.0,,,,15205.48
Algirdas GRICIUS,6026.39,,345549.0,,,,14164.82
Andrejus GOTTO,1964.99,,58775.0,,,,8156.25
Kristina DARAŠKEVIČIENĖ,1019.54,,192000.0,,,,2476.36
Medardas ČOBOTAS,4487.13,,266611.0,,,,18520.68
Ramutis Valentinas ZDANAVIČIUS,0.0,,22500.0,,,,0.0
Valentinas STUNDYS,7433.42,,33875.0,,,,14683.05
Albertas SEKONAS,1840.32,,30436.0,,,,4448.68
Rimantas ZAVACKAS,1140.0,,16092.0,,,,3236.0
Arūnas VIDŽIŪNAS,287.0,,104674.0,,,,11087.0
Petras Antanas ŠALČIUS,6546.0,,154410.0,,,,19268.0
Audronijus ZULONAS,5676.38,,140710.0,,,,12218.65
Romas ŠALTAUSKAS,5003.68,,165988.0,,,,10073.48
Alfonsas PULOKAS,3264.0,,77165.0,,,,6982.0
Marija ŠERIENĖ,7026.0,,2000.0,,,,20121.0
Asta TERMINIENĖ,0.0,,0.0,,,,0.0
Vitalė VINICKIENĖ,10677.0,,296721.0,,,,21040.0
Romualdas VALEVIČIUS,45.0,,346600.0,,,,35475.94
Antanas VIZBARAS,4132.35,,10500.0,,,,12780.9
Gintaras Steponas VYŠNIAUSKAS,7400.0,,1598539.0,,,,25000.0
Gediminas VAGNORIUS,6546.24,,107075.0,,,,19268.76
Adolfas UŽA,1436.16,,106310.0,,,,4238.33
Apolinaras NICIUS,3765.25,,93700.0,,,,16036.11
Algirdas MONKEVIČIUS,6753.0,,77013.0,,,,14740.0
Eugenija MEŠKIENĖ,5739.0,,57242.0,,,,11815.0
Vladas JURGUTIS,2574.29,,3500.0,,,,5848.5
Liudas JONAITIS,4817.38,,189762.0,,,,11034.76
Jadvyga DUNAUSKAITĖ,7708.0,,13028.0,,,,21333.0
Aldona BALSIENĖ,2633.16,,142908.0,,,,6207.84
Kęstutis TREČIOKAS,7713.0,,55470.0,,,,18282.0
Žilvinas ŠILGALIS,1528.3,,63000.0,,,,4428.7
Antanas MARTUSEVIČIUS,6434.1,,165514.0,,,,13564.89
Kazys LEČKAUSKAS,3011.0,,106643.0,,,,9123.0
Antanas KONTRIMAS,541.08,,184072.0,,,,2438.92
Juozas BUTKEVIČIUS,9188.5,,257166.0,,,,17845.0
Alvydas BLAŽIUS,163.74,,231566.0,,,,54299.92
Petras BAGINSKAS,143.11,,29542.0,,,,535.15
Arūnas ANDRIJAUSKAS,1650.0,,425202.0,,,,56524.69
Ieva ŠVARCAITĖ,0.0,,15753.0,,,,1379.0
Vytautas ŠIMKŪNAS,3666.6,,26751.0,,,,8257.4
Jurgis STAŠEVIČIUS,7889.12,,58827.0,,,,15337.13
Arimantas Juvencijus RAŠKINIS,7707.6,,68364.0,,,,21333.4
Jonas RAMONAS,6910.2,,302560.0,,,,15067.24
Zenonas MAČERNIUS,3113.0,,106277.0,,,,22289.0
Romas DOCIUS,47.8,,706759.22,,,,84263.81
Romas ČERKAUSKAS,1455.69,,77075.0,,,,4294.59
Dalia TEIŠERSKYTĖ,2974.95,,138430.6,,,,8814.95
Kęstutis SKAMARAKAS,3517.94,,2004977.0,,,,77452.66
Zigmas PRANCKUS,2384.0,,73484.0,,,,6024.0
Stanislovas Algirdas ORENTAS,1715.78,,36870.0,,,,4227.84
Leonas MILČIUS,3794.52,,19988.06,,,,8670.34
Gintautas MIKOLAITIS,10769.0,,377012.0,,,,21460.0
Jonas MAŽINTAS,0.0,,93170.0,,,,1800.0
Liudas MAŽYLIS,2947.82,,360974.0,,,,96093.97
Vytautas Petras KNAŠYS,6558.0,,222496.0,,,,27752.0
Vladas Rimantas GINTARAS,2220.97,,0.0,,,,5261.86
Viktoras GERULAITIS,4169.62,,193909.0,,,,16460.21
Viktor USPASKICH,8465.05,,60341680.0,,,,39234.58
Petras ŠAKALINIS,6546.24,,35000.0,,,,19268.76
Vytautas SMAGURAUSKAS,0.0,,30425.0,,,,0.0
Algimantas SALAMAKINAS,7707.6,,33674.0,,,,21333.4
Gediminas VALINEVIČIUS,4106.48,,229842.0,,,,8948.52
Žilvinas URBUTIS,3582.0,,48984.0,,,,15993.0
Jonas POVILAITIS,1851.81,,63713.09,,,,6698.67
Arvydas JONAITIS,0.0,,60500.0,,,,0.0
Klemas INDRĖKUS,4050.42,,10000.0,,,,8578.16
Vincas Ramutis GUDAITIS,4695.66,,147052.0,,,,14304.34
Roma DOVYDĖNIENĖ,7561.39,,79967.0,,,,21195.06
Antanas ČEPONONIS,3697.57,,115766.0,,,,7750.8
Gintaras BUDRYS,1401.63,,269642.0,,,,4376.55
Mindaugas BRIEDIS,7940.16,,33634.0,,,,23420.84
Zenonas STUNDŽIA,9743.4,,44180.0,,,,18772.8
Regina RUPŠIENĖ,2770.25,,41862.0,,,,11950.54
Ramūnas KARBAUSKIS,6938.28,,4661173.0,,,,178464.32
Jonas Gediminas JOCIUS,1322.6,,244132.0,,,,16187.05
Aidas BUZYS,3898.88,,9320.0,,,,6619.86
Juozapas BUTKUS,0.0,,4300.0,,,,1133.58
Antanas ABAKAS,0.0,,49690.0,,,,0.0
Eugenijus SKLENYS,2416.64,,141473.0,,,,5474.36
Darius RICKEVIČIUS,3816.72,,108842.0,,,,7962.9
Rimantas REMEIKA,3529.4,,28327.0,,,,7457.0
Albinas RAUDONIUS,15632.28,,163304.0,,,,31501.72
Justinas MACIJAUSKAS,16729.0,,1561646.0,,,,41272.0
Renata LINGEVIČIŪTĖ,33.48,,165000.0,,,,1176.08
Eugenijus KARKLIUS,9451.0,,240404.0,,,,52506.0
Vytautas EINORIS,7707.6,,131108.0,,,,309708.38
Gintaras PLEVOKAS,2964.29,,4000.0,,,,7558.64
Vladas LINKEVIČIUS,3590.0,,621229.0,,,,8783.0
Vida KOMIČIENĖ,8215.0,,50422.0,,,,15782.0
Gintautas GEGUŽINSKAS,6532.0,,65732.0,,,,13174.0
Albertas Julius DVILEVIČIUS,0.0,,0.0,,,,2040.0
Petras DREVINSKAS,2588.0,,74980.0,,,,6078.0
Jonas ČIULEVIČIUS,9634.99,,131964.0,,,,20967.1
Nijolė STATKUTĖ,8876.18,,119301.0,,,,6100.98
Leonidas SOLOGUBOVAS,5049.1,,45833.0,,,,10662.89
Kęstutis SLAVINSKAS,4800.99,,0.0,,,,9712.87
Viktoras RINKEVIČIUS,3915.0,,740226.0,,,,15959.57
